master_id,year,el-emissions_total-mtco2e,el-costs_total_capex-UNITSHERE,el-costs_total_opex-UNITSHERE
101,2017,25.36,0.0,584.52
101,2018,27.55,0.0,642.06
101,2019,30.48,0.0,714.72
101,2020,33.82,0.0,952.72
101,2021,28.2,0.0,800.39
101,2022,33.91,0.0,994.49
101,2023,35.16,188.63,1131.88
101,2024,31.61,725.09,1221.28
101,2025,27.45,2718.7,1894.09
101,2026,25.42,694.93,1102.04
101,2027,24.85,1061.68,1328.27
101,2028,25.83,1272.5,1607.23
101,2029,25.71,966.18,1634.01
101,2030,20.01,8506.66,3298.38
101,2031,16.73,4039.12,1501.07
101,2032,15.42,3491.84,1758.93
101,2033,12.21,3912.68,1831.95
101,2034,12.04,2418.21,1185.6
101,2035,10.85,2914.24,1473.87
101,2036,9.36,2579.13,1261.0
101,2037,8.79,2477.27,1412.01
101,2038,7.47,2180.98,1299.44
101,2039,6.85,1880.44,1132.47
101,2040,6.11,2001.95,919.23
101,2041,3.52,2351.96,1050.86
101,2042,3.51,1456.03,879.53
101,2043,3.58,1208.64,853.49
101,2044,3.48,1168.42,872.52
101,2045,3.37,1413.59,847.65
101,2046,3.07,1103.56,808.86
101,2047,2.75,906.06,738.67
101,2048,2.59,613.17,615.96
101,2049,2.39,494.09,555.03
101,2050,2.16,259.8,476.66
303,2017,25.36,0.0,584.52
303,2018,27.55,0.0,642.04
303,2019,30.51,0.0,715.59
303,2020,34.21,0.0,966.1
303,2021,28.46,0.0,807.5
303,2022,34.15,0.0,1003.28
303,2023,35.31,283.94,1174.88
303,2024,31.59,885.63,1283.51
303,2025,27.7,2668.6,1888.51
303,2026,25.67,773.04,1152.95
303,2027,25.21,1071.28,1366.04
303,2028,26.17,1325.73,1676.2
303,2029,26.11,987.58,1703.56
303,2030,19.99,9232.58,3531.06
303,2031,16.62,4431.34,1589.43
303,2032,15.43,3547.54,1793.56
303,2033,12.07,4351.0,1829.89
303,2034,12.05,2345.29,1286.05
303,2035,10.83,3000.51,1541.42
303,2036,9.45,2592.68,1273.6
303,2037,8.81,2702.51,1511.1
303,2038,7.72,2107.91,1307.79
303,2039,7.18,1780.97,1154.91
303,2040,6.32,2486.09,977.96
303,2041,3.6,2553.75,1136.85
303,2042,3.6,1597.93,857.78
303,2043,3.65,1356.08,898.83
303,2044,3.63,1196.53,877.05
303,2045,3.4,1598.56,922.63
303,2046,3.11,1166.6,828.73
303,2047,2.75,1014.47,737.85
303,2048,2.64,638.15,627.03
303,2049,2.49,505.29,580.74
303,2050,2.27,274.11,504.13
102,2017,25.36,0.0,584.52
102,2018,27.55,0.0,642.02
102,2019,30.48,0.0,714.73
102,2020,33.8,0.0,870.9
102,2021,31.76,0.0,830.33
102,2022,36.17,1836.43,1504.95
102,2023,35.79,3086.34,1886.04
102,2024,33.72,389.03,1072.45
102,2025,33.77,1793.41,1531.82
102,2026,32.05,699.62,1314.67
102,2027,32.64,408.58,1451.6
102,2028,32.62,1489.99,1887.98
102,2029,33.05,1602.31,2147.52
102,2030,25.81,11926.9,4661.63
102,2031,23.42,3735.84,2189.47
102,2032,21.99,4723.16,2405.84
102,2033,18.47,4644.71,2362.59
102,2034,18.83,2710.36,1781.7
102,2035,17.17,3823.13,2078.83
102,2036,15.52,3364.8,1989.09
102,2037,15.0,3427.35,2023.54
102,2038,13.43,2950.89,1815.76
102,2039,12.7,2669.98,1768.74
102,2040,11.66,2810.82,1810.68
102,2041,7.54,2901.23,1998.23
102,2042,7.73,1858.32,1700.42
102,2043,7.91,1803.75,1673.16
102,2044,7.85,1675.37,1722.37
102,2045,8.13,1710.48,1805.19
102,2046,8.26,1256.21,1678.98
102,2047,8.43,994.96,1683.95
102,2048,8.85,742.41,1604.9
102,2049,8.75,721.65,1595.19
102,2050,9.0,310.61,1658.54
304,2017,25.36,0.0,584.49
304,2018,27.55,0.0,642.04
304,2019,30.51,0.0,715.46
304,2020,34.18,0.0,882.77
304,2021,31.97,0.0,836.72
304,2022,36.24,1966.72,1544.91
304,2023,35.89,3102.21,1897.37
304,2024,33.86,448.93,1097.62
304,2025,34.03,1779.92,1548.18
304,2026,32.0,1078.32,1427.76
304,2027,32.92,189.07,1431.6
304,2028,32.89,1645.11,1975.38
304,2029,33.09,2287.54,2359.01
304,2030,25.78,12028.02,4709.93
304,2031,23.51,3941.67,2249.09
304,2032,22.11,4810.12,2450.52
304,2033,18.6,4845.46,2417.8
304,2034,18.92,2952.36,1831.59
304,2035,17.02,4240.06,2210.71
304,2036,15.67,3136.6,1956.66
304,2037,15.14,3619.76,2106.71
304,2038,13.49,3205.44,1891.92
304,2039,12.64,2957.02,1863.56
304,2040,11.55,2995.72,1890.15
304,2041,7.69,2950.03,1976.59
304,2042,7.79,2135.05,1750.58
304,2043,7.95,1951.17,1740.17
304,2044,8.08,1615.29,1806.26
304,2045,8.21,1953.73,1848.41
304,2046,8.56,1205.6,1742.65
304,2047,8.81,1148.55,1651.37
304,2048,8.78,1036.88,1625.76
304,2049,9.03,649.54,1725.84
304,2050,9.43,331.42,1736.69
103,2017,25.36,0.0,584.52
103,2018,27.55,0.0,642.02
103,2019,30.48,0.0,714.73
103,2020,33.56,0.0,937.43
103,2021,28.96,0.0,809.03
103,2022,33.83,242.39,1047.28
103,2023,32.42,2641.84,1731.48
103,2024,29.83,532.79,1018.63
103,2025,29.54,1829.81,1420.05
103,2026,27.85,639.14,1099.4
103,2027,28.22,695.99,1248.04
103,2028,28.71,1926.21,1759.81
103,2029,28.58,1957.64,1881.22
103,2030,22.48,9173.2,3547.38
103,2031,19.97,3614.31,1889.43
103,2032,19.19,3427.23,1828.4
103,2033,16.3,4210.76,1982.63
103,2034,16.46,2405.23,1540.46
103,2035,15.25,3329.97,1808.54
103,2036,13.64,2904.06,1672.69
103,2037,13.71,2400.26,1558.17
103,2038,12.02,2989.43,1705.39
103,2039,10.99,2736.05,1593.57
103,2040,9.93,2275.59,1516.66
103,2041,5.75,2676.39,1657.47
