future_id,lever_group_1,lever_group_2,lever_group_3,lever_group_4,lever_group_5,lever_group_6,lever_group_7,lever_group_8,lever_group_9,lever_group_10,lever_group_11
1,0.575363545,0.323833259,0.745681314,0.861030095,0.565552039,0.690429975,0.516205944,0.072929763,0.388451486,0.889744292,0.297744482
2,0.485825141,0.082194673,0.898365603,0.515865868,0.09439189,0.835020984,0.281063085,0.748575696,0.655260704,0.129282758,0.579804599
3,0.850485438,0.277296331,0.259416514,0.675105901,0.387760883,0.985381285,0.718616624,0.717757431,0.339207084,0.44236465,0.945515497
4,0.520450166,0.299315362,0.546355502,0.939193085,0.355598111,0.673594396,0.987803248,0.95195696,0.21175064,0.59993201,0.592313425
5,0.475024919,0.028528179,0.130921436,0.808452112,0.625250262,0.626760972,0.954275884,0.963237522,0.062456216,0.503912924,0.300917362
6,0.877304654,0.989536113,0.059169678,0.986193232,0.034924203,0.026953873,0.466623162,0.251943269,0.429158898,0.910610802,0.176458384
7,0.723082816,0.597100735,0.60829305,0.205344924,0.559803112,0.223708507,0.898175709,0.944360189,0.258684554,0.683901652,0.797508471
8,0.547505365,0.344833753,0.247178308,0.8479696,0.280166818,0.888730731,0.943401007,0.993550196,0.847856445,0.313995999,0.709869693
9,0.085079544,0.686938336,0.096589019,0.236971089,0.136789931,0.048070373,0.603665699,0.977018248,0.973539661,0.470870558,0.284771508
10,0.965593482,0.099313367,0.392481879,0.291138658,0.658292772,0.39564566,0.75425284,0.613163232,0.106919426,0.636516882,0.502125556
11,0.68140851,0.905948981,0.378187836,0.347733481,0.276762721,0.450332056,0.593080705,0.307073688,0.912782974,0.24690165,0.524768003
12,0.207168303,0.613072445,0.215906319,0.324608461,0.878687933,0.59796047,0.192259456,0.881471663,0.955551758,0.729343148,0.462586293
13,0.705484034,0.777069806,0.952194213,0.494287377,0.227789772,0.474620714,0.475909287,0.112671669,0.757154486,0.847154379,0.441082739
14,0.984175888,0.480095184,0.524190458,0.689121316,0.751413971,0.680609155,0.330110292,0.157638679,0.316405042,0.791506607,0.785932652
15,0.718780612,0.881410459,0.967346763,0.992825442,0.315207849,0.931665551,0.524599551,0.480578405,0.82011842,0.495684301,0.660082195
16,0.281993208,0.475447948,0.887958572,0.569934694,0.934477473,0.445549618,0.354330313,0.534896963,0.726032261,0.821638042,0.856668426
17,0.887793219,0.287387244,0.035381646,0.307340974,0.843771116,0.245188619,0.789588032,0.497545968,0.284978216,0.269885428,0.352006441
18,0.223038942,0.656266838,0.061348619,0.274849241,0.666975038,0.056709584,0.321779002,0.278758886,0.938321612,0.871149019,0.983833655
19,0.053327173,0.563476363,0.008298724,0.352517963,0.540863038,0.948271267,0.483624548,0.42879338,0.17865548,0.377175444,0.144206846
20,0.552468009,0.458888973,0.489382346,0.28110694,0.676334548,0.108686681,0.641990628,0.635522029,0.309290258,0.093464965,0.119591633
21,0.371845131,0.423630428,0.599564824,0.534021455,0.514763262,0.230708313,0.8750595,0.065346751,0.535573323,0.519395662,0.966814208
22,0.61321801,0.446581019,0.938336018,0.045319619,0.73453629,0.435682623,0.102825544,0.561829853,0.244245404,0.56650281,0.747185539
23,0.240729757,0.39839078,0.878308845,0.210529625,0.406959138,0.08579843,0.699209886,0.840797748,0.432854055,0.808082393,0.373964183
24,0.0438833,0.365960517,0.471383915,0.54447411,0.182732476,0.409890603,0.377388296,0.768529594,0.792378997,0.615261947,0.837023497
25,0.185876334,0.662402341,0.490797639,0.826055866,0.469226442,0.848784234,0.991297153,0.208242336,0.495541844,0.488472884,0.536898004
26,0.913433861,0.641769971,0.831255371,0.953369546,0.07094509,0.15899029,0.427317854,0.896796853,0.470565943,0.747303142,0.694861426
27,0.076399287,0.499522502,0.73782106,0.447653252,0.690899948,0.585381755,0.025529746,0.457877582,0.96668229,0.07991344,0.049809672
28,0.636412103,0.928056891,0.120513013,0.107270777,0.051216043,0.35226937,0.92281689,0.87526656,0.662631788,0.891599524,0.559588849
29,0.749519936,0.038120579,0.238646453,0.333849478,0.774561555,0.422554113,0.587155037,0.415356314,0.079084931,0.45617069,0.64648979
30,0.815565358,0.315509402,0.36119636,0.977887183,0.784373881,0.550372226,0.682465773,0.658212603,0.238373521,0.771109702,0.005849708
31,0.146293466,0.95096455,0.561861848,0.180877933,0.432211857,0.119230193,0.458448507,0.213574626,0.157403812,0.628116998,0.36503394
32,0.395247572,0.101467853,0.400039162,0.946033494,0.173513591,0.716980194,0.399093218,0.237180876,0.045219624,0.78877557,0.990695043
33,0.238806538,0.383466485,0.828991993,0.969515703,0.86859513,0.160685062,0.497728145,0.583930098,0.768173115,0.419386544,0.063130662
34,0.788484631,0.147595384,0.317960506,0.03582907,0.748585695,0.133575911,0.675740244,0.409917143,0.604746652,0.853205866,0.162031756
35,0.950676554,0.539799068,0.511184594,0.913841153,0.490773398,0.815568029,0.82131018,0.598711975,0.513239922,0.210129283,0.878458497
36,0.896789192,0.961532829,0.904566795,0.609018457,0.267789079,0.892570286,0.248990526,0.430835823,0.593131665,0.551850007,0.212108727
