future_id,sector,parameter,range_value,scale_value,parameter_constant_q
1,industry_and_mining,cement_production,max,1.1,0
2,industry_and_mining,cement_production,min,0.9,0
3,commercial,commercial_elasticity,max,1.2,0
4,commercial,commercial_elasticity,min,1.0,0
5,industry_and_mining,copper_intensity_useful_energy,max,1.05,0
6,industry_and_mining,copper_intensity_useful_energy,min,0.9,0
7,Analytica_waste,cumplimiento_metas,max,1.05,1
8,Analytica_waste,cumplimiento_metas,min,0.8,1
9,Analytica_waste,ef_captura,max,1.222,0
10,Analytica_waste,ef_captura,min,0.777,0
11,Analytica_waste,elast_res_ind_pib,max,2.0,1
12,Analytica_waste,elast_res_ind_pib,min,0.0,1
13,industry_and_mining,fishing_production,max,1.1,0
14,industry_and_mining,fishing_production,min,0.9,0
15,Analytica_ippu,hfcmma,max,0.0,1
16,Analytica_ippu,hfcmma,min,0.0,1
17,electricity_generation,hydrology_exceedance_probability,max,2.0,1
18,electricity_generation,hydrology_exceedance_probability,min,0.0,1
19,Analytica_forestry,incendio_bosque_nativo,max,1.1,1
20,Analytica_forestry,incendio_bosque_nativo,min,0.7,1
21,Analytica_forestry,incendio_plantaciones_forestales,max,1.1,1
22,Analytica_forestry,incendio_plantaciones_forestales,min,0.7,1
23,Analytica_forestry,incertidumbre_incendio_bn,max,2.055,0
24,Analytica_forestry,incertidumbre_incendio_bn,min,0.287,0
25,Analytica_forestry,incertidumbre_incendio_plantaciones,max,4.309,0
26,Analytica_forestry,incertidumbre_incendio_plantaciones,min,0.075,0
27,industry_and_mining,industry_and_mining_fuel_price_biomass,max,1.1,0
28,industry_and_mining,industry_and_mining_fuel_price_biomass,min,0.9,0
29,industry_and_mining,industry_and_mining_fuel_price_coal,max,1.1,0
30,industry_and_mining,industry_and_mining_fuel_price_coal,min,0.9,0
31,industry_and_mining,industry_and_mining_fuel_price_diesel,max,1.1,0
32,industry_and_mining,industry_and_mining_fuel_price_diesel,min,0.9,0
33,industry_and_mining,industry_and_mining_fuel_price_electric,max,1.1,0
34,industry_and_mining,industry_and_mining_fuel_price_electric,min,0.9,0
35,industry_and_mining,industry_and_mining_fuel_price_fuel_oil,max,1.1,0
36,industry_and_mining,industry_and_mining_fuel_price_fuel_oil,min,0.9,0
37,industry_and_mining,industry_and_mining_fuel_price_hydrogen,max,1.1,0
38,industry_and_mining,industry_and_mining_fuel_price_hydrogen,min,0.9,0
39,industry_and_mining,industry_and_mining_fuel_price_kerosene,max,1.1,0
40,industry_and_mining,industry_and_mining_fuel_price_kerosene,min,0.9,0
41,industry_and_mining,industry_and_mining_fuel_price_natural_gas,max,1.1,0
42,industry_and_mining,industry_and_mining_fuel_price_natural_gas,min,0.9,0
43,industry_and_mining,industry_and_mining_fuel_price_pliqgas,max,1.1,0
44,industry_and_mining,industry_and_mining_fuel_price_pliqgas,min,0.9,0
45,industry_and_mining,industry_and_mining_fuel_price_solar,max,1.1,0
46,industry_and_mining,industry_and_mining_fuel_price_solar,min,0.9,0
47,industry_and_mining,industry_and_mining_investment_cost_heat_biomass,max,1.1,0
48,industry_and_mining,industry_and_mining_investment_cost_heat_biomass,min,0.9,0
49,industry_and_mining,industry_and_mining_investment_cost_heat_coal,max,1.1,0
50,industry_and_mining,industry_and_mining_investment_cost_heat_coal,min,0.9,0
51,industry_and_mining,industry_and_mining_investment_cost_heat_diesel,max,1.1,0
52,industry_and_mining,industry_and_mining_investment_cost_heat_diesel,min,0.9,0
53,industry_and_mining,industry_and_mining_investment_cost_heat_electric,max,1.1,0
54,industry_and_mining,industry_and_mining_investment_cost_heat_electric,min,0.9,0
55,industry_and_mining,industry_and_mining_investment_cost_heat_fuel_oil,max,1.1,0
56,industry_and_mining,industry_and_mining_investment_cost_heat_fuel_oil,min,0.9,0
57,industry_and_mining,industry_and_mining_investment_cost_heat_hydrogen,max,1.1,0
