master_id,design_id,time_series_id,run_id,strategy_id,future_id
0,0,0,0,0,0
1,0,0,1,0,1
2,0,0,2,0,2
3,0,0,3,0,3
4,0,0,4,0,4
5,0,0,5,0,5
6,0,0,6,0,6
7,0,0,7,0,7
8,0,0,8,0,8
9,0,0,9,0,9
10,0,0,10,0,10
11,0,0,11,1,0
12,0,0,12,1,1
13,0,0,13,1,2
14,0,0,14,1,3
15,0,0,15,1,4
16,0,0,16,1,5
17,0,0,17,1,6
18,0,0,18,1,7
19,0,0,19,1,8
20,0,0,20,1,9
21,0,0,21,1,10
22,1,0,0,0,0
23,1,0,1,0,1
24,1,0,2,0,2
25,1,0,3,0,3
26,1,0,4,0,4
27,1,0,5,0,5
28,1,0,6,0,6
29,1,0,7,0,7
30,1,0,8,0,8
31,1,0,9,0,9
32,1,0,10,0,10
33,1,0,11,1,0
34,1,0,12,1,1
35,1,0,13,1,2
36,1,0,14,1,3
37,1,0,15,1,4
38,1,0,16,1,5
39,1,0,17,1,6
40,1,0,18,1,7
41,1,0,19,1,8
42,1,0,20,1,9
43,1,0,21,1,10
