Sector,Gas,Agno,Cap
cap,CO2,2017,1000
cap,CO2,2018,1000
cap,CO2,2019,1000
cap,CO2,2020,1000
cap,CO2,2021,1000
cap,CO2,2022,1000
cap,CO2,2023,1000
cap,CO2,2024,1000
cap,CO2,2025,1000
cap,CO2,2026,1000
cap,CO2,2027,1000
cap,CO2,2028,1000
cap,CO2,2029,1000
cap,CO2,2030,1000
cap,CO2,2031,1000
cap,CO2,2032,1000
cap,CO2,2033,1000
cap,CO2,2034,1000
cap,CO2,2035,1000
cap,CO2,2036,1000
cap,CO2,2037,1000
cap,CO2,2038,1000
cap,CO2,2039,1000
cap,CO2,2040,1000
cap,CO2,2041,1000
cap,CO2,2042,1000
cap,CO2,2043,1000
cap,CO2,2044,1000
cap,CO2,2045,1000
cap,CO2,2046,1000
cap,CO2,2047,1000
cap,CO2,2048,1000
cap,CO2,2049,1000
cap,CO2,2050,1000
