Proceso,Agno,COMA
Carbon_SING,2017,64.15121711125595
Carbon_II-III,2017,64.15121711125595
GNL_CC_SING,2017,30.10500094436301
GNL_CC_II-III,2017,30.10500094436301
GNL_CC_VIII,2017,30.10500094436301
GNL_CA_SING,2017,30.10500094436301
GNL_CA_II-III,2017,30.10500094436301
GNL_CA_VIII,2017,30.10500094436301
Diesel_SING,2017,22.5
Diesel_IV,2017,22.5
Diesel_X-XIV,2017,22.5
Biomasa_VII,2017,128.86221085386902
Biomasa_VIII,2017,128.86221085386902
Biomasa_X-XIV,2017,128.86221085386902
Geotermica_SING,2017,212.5611631784045
Geotermica_VI,2017,212.5611631784045
Geotermica_VII,2017,212.5611631784045
Geotermica_VIII,2017,212.5611631784045
Solar_CSP_SING,2017,30.0
Solar_CSP_II-III,2017,30.0
Eolica_SING,2017,33.06807373515868
Eolica_II-III,2017,33.06807373515868
Eolica_IV,2017,33.06807373515868
Eolica_V,2017,33.06807373515868
Eolica_VI,2017,33.06807373515868
Eolica_VIII,2017,33.06807373515868
Eolica_X-XIV,2017,33.06807373515868
Hidro_Pasada_XIII,2017,54.92992974200506
Hidro_Pasada_VI,2017,54.92992974200506
Hidro_Pasada_VII,2017,54.92992974200506
Hidro_Pasada_VIII,2017,54.92992974200506
Hidro_Pasada_X-XIV,2017,54.92992974200506
Solar_FV_SING,2017,21.858982264847477
Solar_FV_II-III,2017,21.858982264847477
Solar_FV_IV,2017,21.858982264847477
Solar_FV_V,2017,21.858982264847477
Solar_FV_XIII,2017,21.858982264847477
Solar_FV_VI,2017,21.858982264847477
Carbon_SING,2018,64.30243422251188
Carbon_II-III,2018,64.30243422251188
GNL_CC_SING,2018,30.432224110948244
GNL_CC_II-III,2018,30.432224110948244
GNL_CC_VIII,2018,30.432224110948244
GNL_CA_SING,2018,30.432224110948244
GNL_CA_II-III,2018,30.432224110948244
GNL_CA_VIII,2018,30.432224110948244
Diesel_SING,2018,22.5
Diesel_IV,2018,22.5
Diesel_X-XIV,2018,22.5
Biomasa_VII,2018,128.22442170773786
Biomasa_VIII,2018,128.22442170773786
Biomasa_X-XIV,2018,128.22442170773786
Geotermica_SING,2018,206.9838146775395
Geotermica_VI,2018,206.9838146775395
Geotermica_VII,2018,206.9838146775395
Geotermica_VIII,2018,206.9838146775395
Solar_CSP_SING,2018,30.0
Solar_CSP_II-III,2018,30.0
Eolica_SING,2018,32.93333999303384
Eolica_II-III,2018,32.93333999303384
Eolica_IV,2018,32.93333999303384
Eolica_V,2018,32.93333999303384
Eolica_VI,2018,32.93333999303384
Eolica_VIII,2018,32.93333999303384
Eolica_X-XIV,2018,32.93333999303384
Hidro_Pasada_XIII,2018,55.058588300271836
Hidro_Pasada_VI,2018,55.058588300271836
Hidro_Pasada_VII,2018,55.058588300271836
Hidro_Pasada_VIII,2018,55.058588300271836
Hidro_Pasada_X-XIV,2018,55.058588300271836
Solar_FV_SING,2018,21.21796497969495
Solar_FV_II-III,2018,21.21796497969495
Solar_FV_IV,2018,21.21796497969495
Solar_FV_V,2018,21.21796497969495
Solar_FV_XIII,2018,21.21796497969495
Solar_FV_VI,2018,21.21796497969495
Carbon_SING,2019,64.4536513337678
Carbon_II-III,2019,64.4536513337678
GNL_CC_SING,2019,30.75944727753347
GNL_CC_II-III,2019,30.75944727753347
GNL_CC_VIII,2019,30.75944727753347
GNL_CA_SING,2019,30.75944727753347
GNL_CA_II-III,2019,30.75944727753347
GNL_CA_VIII,2019,30.75944727753347
Diesel_SING,2019,22.5
Diesel_IV,2019,22.5
Diesel_X-XIV,2019,22.5
Biomasa_VII,2019,127.58663256160675
Biomasa_VIII,2019,127.58663256160675
Biomasa_X-XIV,2019,127.58663256160675
Geotermica_SING,2019,201.4064661766745
Geotermica_VI,2019,201.4064661766745
Geotermica_VII,2019,201.4064661766745
Geotermica_VIII,2019,201.4064661766745
Solar_CSP_SING,2019,30.0
Solar_CSP_II-III,2019,30.0
Eolica_SING,2019,32.7957724644996
Eolica_II-III,2019,32.7957724644996
Eolica_IV,2019,32.7957724644996
Eolica_V,2019,32.7957724644996
Eolica_VI,2019,32.7957724644996
Eolica_VIII,2019,32.7957724644996
Eolica_X-XIV,2019,32.7957724644996
Hidro_Pasada_XIII,2019,55.18724685853862
Hidro_Pasada_VI,2019,55.18724685853862
Hidro_Pasada_VII,2019,55.18724685853862
Hidro_Pasada_VIII,2019,55.18724685853862
Hidro_Pasada_X-XIV,2019,55.18724685853862
Solar_FV_SING,2019,20.576947694542426
Solar_FV_II-III,2019,20.576947694542426
Solar_FV_IV,2019,20.576947694542426
Solar_FV_V,2019,20.576947694542426
Solar_FV_XIII,2019,20.576947694542426
Solar_FV_VI,2019,20.576947694542426
Carbon_SING,2020,64.60486844502373
Carbon_II-III,2020,64.60486844502373
GNL_CC_SING,2020,31.086670444118706
GNL_CC_II-III,2020,31.086670444118706
GNL_CC_VIII,2020,31.086670444118706
GNL_CA_SING,2020,31.086670444118706
GNL_CA_II-III,2020,31.086670444118706
GNL_CA_VIII,2020,31.086670444118706
Diesel_SING,2020,22.5
Diesel_IV,2020,22.5
Diesel_X-XIV,2020,22.5
Biomasa_VII,2020,126.94884341547562
Biomasa_VIII,2020,126.94884341547562
Biomasa_X-XIV,2020,126.94884341547562
Geotermica_SING,2020,195.82911767580953
Geotermica_VI,2020,195.82911767580953
Geotermica_VII,2020,195.82911767580953
Geotermica_VIII,2020,195.82911767580953
Solar_CSP_SING,2020,30.0
Solar_CSP_II-III,2020,30.0
Eolica_SING,2020,32.655396794681856
Eolica_II-III,2020,32.655396794681856
Eolica_IV,2020,32.655396794681856
Eolica_V,2020,32.655396794681856
Eolica_VI,2020,32.655396794681856
Eolica_VIII,2020,32.655396794681856
Eolica_X-XIV,2020,32.655396794681856
Hidro_Pasada_XIII,2020,55.3159054168054
Hidro_Pasada_VI,2020,55.3159054168054
Hidro_Pasada_VII,2020,55.3159054168054
Hidro_Pasada_VIII,2020,55.3159054168054
Hidro_Pasada_X-XIV,2020,55.3159054168054
Solar_FV_SING,2020,19.935930409389904
Solar_FV_II-III,2020,19.935930409389904
Solar_FV_IV,2020,19.935930409389904
Solar_FV_V,2020,19.935930409389904
Solar_FV_XIII,2020,19.935930409389904
Solar_FV_VI,2020,19.935930409389904
Carbon_SING,2021,64.7516899049904
Carbon_II-III,2021,64.7516899049904
GNL_CC_SING,2021,31.410521080896306
GNL_CC_II-III,2021,31.410521080896306
GNL_CC_VIII,2021,31.410521080896306
GNL_CA_SING,2021,31.410521080896306
