Escenario,Agno,Energeticos,Precio
0,2015,generacion_solar_csp,7332.0
0,2016,generacion_solar_csp,7332.0
0,2017,generacion_solar_csp,7332.0
0,2018,generacion_solar_csp,7332.0
0,2019,generacion_solar_csp,7332.0
0,2020,generacion_solar_csp,7123.9193547919995
0,2021,generacion_solar_csp,6810.74193572
0,2022,generacion_solar_csp,6506.516129212
0,2023,generacion_solar_csp,6213.2258064160005
0,2024,generacion_solar_csp,5914.274193191
0,2025,generacion_solar_csp,5637.838710372
0,2026,generacion_solar_csp,5370.419355196001
0,2027,generacion_solar_csp,5113.806451474
0,2028,generacion_solar_csp,4866.241934690001
0,2029,generacion_solar_csp,4629.451614064
0,2030,generacion_solar_csp,4401.74193598
0,2031,generacion_solar_csp,4417.161290022
0,2032,generacion_solar_csp,4432.758063403
0,2033,generacion_solar_csp,4450.129033484
0,2034,generacion_solar_csp,4468.709677832
0,2035,generacion_solar_csp,4487.290322164
0,2036,generacion_solar_csp,4507.596772932
0,2037,generacion_solar_csp,4528.870968909
0,2038,generacion_solar_csp,4550.41935516
0,2039,generacion_solar_csp,4573.64516075
0,2040,generacion_solar_csp,4597.83870826
0,2041,generacion_solar_csp,4622.354839809999
0,2042,generacion_solar_csp,4648.500000222
0,2043,generacion_solar_csp,4675.612902553999
0,2044,generacion_solar_csp,4703.499998417999
0,2045,generacion_solar_csp,4732.580646187
0,2046,generacion_solar_csp,4762.629032373
0,2047,generacion_solar_csp,4793.096773382
0,2048,generacion_solar_csp,4825.09677244
0,2049,generacion_solar_csp,4858.064517072
0,2050,generacion_solar_csp,4891.5
1,2015,generacion_solar_csp,7332.0
1,2016,generacion_solar_csp,7332.0
1,2017,generacion_solar_csp,7332.0
1,2018,generacion_solar_csp,7332.0
1,2019,generacion_solar_csp,7332.0
1,2020,generacion_solar_csp,7123.888043321401
1,2021,generacion_solar_csp,6810.404256203409
1,2022,generacion_solar_csp,6505.276817720268
1,2023,generacion_solar_csp,6210.170083624703
1,2024,generacion_solar_csp,5908.9503781654885
1,2025,generacion_solar_csp,5628.260514018813
1,2026,generacion_solar_csp,5354.771577230873
1,2027,generacion_solar_csp,5089.969599410006
1,2028,generacion_solar_csp,4831.757625592917
1,2029,generacion_solar_csp,4581.567552059185
1,2030,generacion_solar_csp,4337.355171847745
1,2031,generacion_solar_csp,4339.788396083671
1,2032,generacion_solar_csp,4341.046072741603
1,2033,generacion_solar_csp,4342.747640600883
1,2034,generacion_solar_csp,4344.233605778683
1,2035,generacion_solar_csp,4344.291352698812
1,2036,generacion_solar_csp,4344.664505943676
1,2037,generacion_solar_csp,4344.524942072802
1,2038,generacion_solar_csp,4343.085518950027
1,2039,generacion_solar_csp,4341.8364797978975
1,2040,generacion_solar_csp,4339.98095945511
1,2041,generacion_solar_csp,4336.758932846249
1,2042,generacion_solar_csp,4333.605379083204
1,2043,generacion_solar_csp,4329.7515827086145
1,2044,generacion_solar_csp,4324.756617414379
1,2045,generacion_solar_csp,4319.423535853079
1,2046,generacion_solar_csp,4313.296101712529
1,2047,generacion_solar_csp,4305.659166602883
1,2048,generacion_solar_csp,4297.855885507678
1,2049,generacion_solar_csp,4289.164495454967
1,2050,generacion_solar_csp,4278.887608107523
2,2015,generacion_solar_csp,7332.0
2,2016,generacion_solar_csp,7332.0
2,2017,generacion_solar_csp,7332.0
2,2018,generacion_solar_csp,7332.0
2,2019,generacion_solar_csp,7332.0
2,2020,generacion_solar_csp,7123.994591204749
2,2021,generacion_solar_csp,6811.553325124635
2,2022,generacion_solar_csp,6509.493994803564
2,2023,generacion_solar_csp,6220.56821534085
2,2024,generacion_solar_csp,5927.066461870901
2,2025,generacion_solar_csp,5660.853571074645
2,2026,generacion_solar_csp,5408.018441380272
2,2027,generacion_solar_csp,5171.082561674006
2,2028,generacion_solar_csp,4949.10216651562
2,2029,generacion_solar_csp,4744.509290507546
2,2030,generacion_solar_csp,4556.452943455327
2,2031,generacion_solar_csp,4603.075872526757
2,2032,generacion_solar_csp,4653.127182181007
2,2033,generacion_solar_csp,4708.149198046491
2,2034,generacion_solar_csp,4767.805598763556
2,2035,generacion_solar_csp,4830.8937775022605
2,2036,generacion_solar_csp,4899.096726621619
2,2037,generacion_solar_csp,4971.824733091318
2,2038,generacion_solar_csp,5048.6091169234705
2,2039,generacion_solar_csp,5130.6440261994285
2,2040,generacion_solar_csp,5217.4292815800045
2,2041,generacion_solar_csp,5308.595732525658
2,2042,generacion_solar_csp,5405.140976694654
2,2043,generacion_solar_csp,5506.66186053727
2,2044,generacion_solar_csp,5613.5592449010355
2,2045,generacion_solar_csp,5725.330532701853
2,2046,generacion_solar_csp,5842.303579326929
2,2047,generacion_solar_csp,5964.330710084533
2,2048,generacion_solar_csp,6091.971570371028
2,2049,generacion_solar_csp,6225.039495288267
2,2050,generacion_solar_csp,6363.508752402484
3,2015,generacion_solar_csp,7332.0
3,2016,generacion_solar_csp,7332.0
3,2017,generacion_solar_csp,7332.0
3,2018,generacion_solar_csp,7332.0
3,2019,generacion_solar_csp,7332.0
3,2020,generacion_solar_csp,7123.8705586003425
3,2021,generacion_solar_csp,6810.215691692002
3,2022,generacion_solar_csp,6504.58477051445
3,2023,generacion_solar_csp,6208.463729383998
3,2024,generacion_solar_csp,5905.977492545305
3,2025,generacion_solar_csp,5622.91192807636
3,2026,generacion_solar_csp,5346.033660177513
3,2027,generacion_solar_csp,5076.6587998439245
3,2028,generacion_solar_csp,4812.5011514018715
3,2029,generacion_solar_csp,4554.828486429009
3,2030,generacion_solar_csp,4301.400788703017
3,2031,generacion_solar_csp,4296.582393869289
3,2032,generacion_solar_csp,4289.832937625317
3,2033,generacion_solar_csp,4282.784513172959
3,2034,generacion_solar_csp,4274.72459337106
3,2035,generacion_solar_csp,4264.438920188124
3,2036,generacion_solar_csp,4253.681068075852
3,2037,generacion_solar_csp,4241.583789967963
3,2038,generacion_solar_csp,4227.307683451922
3,2039,generacion_solar_csp,4212.391581555984
3,2040,generacion_solar_csp,4195.989932381217
3,2041,generacion_solar_csp,4177.278567557995
3,2042,generacion_solar_csp,4157.764241370767
3,2043,generacion_solar_csp,4136.618248920955
3,2044,generacion_solar_csp,4113.261524942232
3,2045,generacion_solar_csp,4088.711381824009
3,2046,generacion_solar_csp,4062.3829122358006
3,2047,generacion_solar_csp,4033.4678442173263
3,2048,generacion_solar_csp,4003.437908244643
3,2049,generacion_solar_csp,3971.4835306801633
3,2050,generacion_solar_csp,3936.797103107662
4,2015,generacion_solar_csp,7332.0
4,2016,generacion_solar_csp,7332.0
4,2017,generacion_solar_csp,7332.0
4,2018,generacion_solar_csp,7332.0
4,2019,generacion_solar_csp,7332.0
4,2020,generacion_solar_csp,7123.94405363373
4,2021,generacion_solar_csp,6811.008301137417
4,2022,generacion_solar_csp,6507.493712117051
4,2023,generacion_solar_csp,6215.6361950739565
4,2024,generacion_solar_csp,5918.473678625708
4,2025,generacion_solar_csp,5645.394099859281
4,2026,generacion_solar_csp,5382.762499226211
4,2027,generacion_solar_csp,5132.609229664515
4,2028,generacion_solar_csp,4893.4435472714285
4,2029,generacion_solar_csp,4667.223103114661
4,2030,generacion_solar_csp,4452.5309428980945
4,2031,generacion_solar_csp,4478.19390283408
4,2032,generacion_solar_csp,4505.10151769752
4,2033,generacion_solar_csp,4534.832689266617
4,2034,generacion_solar_csp,4566.897809660881
4,2035,generacion_solar_csp,4600.089524722609
4,2036,generacion_solar_csp,4636.119585761246
4,2037,generacion_solar_csp,4674.285197415264
4,2038,generacion_solar_csp,4713.966627391186
4,2039,generacion_solar_csp,4756.498467003552
4,2040,generacion_solar_csp,4801.239813509437
4,2041,generacion_solar_csp,4847.636117570231
4,2042,generacion_solar_csp,4896.89243470803
4,2043,generacion_solar_csp,4948.4322188073575
4,2044,generacion_solar_csp,5002.257055978195
4,2045,generacion_solar_csp,5058.483642211253
4,2046,generacion_solar_csp,5117.067924145313
4,2047,generacion_solar_csp,5177.593064141258
4,2048,generacion_solar_csp,5240.9903402376185
4,2049,generacion_solar_csp,5306.819280927824
4,2050,generacion_solar_csp,5374.73557534319
5,2015,generacion_solar_csp,7332.0
5,2016,generacion_solar_csp,7332.0
5,2017,generacion_solar_csp,7332.0
5,2018,generacion_solar_csp,7332.0
5,2019,generacion_solar_csp,7332.0
5,2020,generacion_solar_csp,7124.011393508725
5,2021,generacion_solar_csp,6811.734530088047
5,2022,generacion_solar_csp,6510.159031865283
5,2023,generacion_solar_csp,6222.207971705662
5,2024,generacion_solar_csp,5929.923317734277
5,2025,generacion_solar_csp,5665.993405250144
5,2026,generacion_solar_csp,5416.415323318179
5,2027,generacion_solar_csp,5183.873849548792
5,2028,generacion_solar_csp,4967.607073272591
5,2029,generacion_solar_csp,4770.204748115513
5,2030,generacion_solar_csp,4591.004050838576
5,2031,generacion_solar_csp,4644.595573090132
5,2032,generacion_solar_csp,4702.341502552265
5,2033,generacion_solar_csp,4765.772004324603
5,2034,generacion_solar_csp,4834.601720452869
5,2035,generacion_solar_csp,4907.629622458484
5,2036,generacion_solar_csp,4986.5291411679755
5,2037,generacion_solar_csp,5070.748160207638
5,2038,generacion_solar_csp,5159.868220181977
5,2039,generacion_solar_csp,5255.036775794577
5,2040,generacion_solar_csp,5355.8004342327495
5,2041,generacion_solar_csp,5461.851684780877
5,2042,generacion_solar_csp,5574.119151262113
5,2043,generacion_solar_csp,5692.257328219792
5,2044,generacion_solar_csp,5816.79982398762
5,2045,generacion_solar_csp,5947.038144160292
5,2046,generacion_solar_csp,6083.423793198688
5,2047,generacion_solar_csp,6225.898585430241
5,2048,generacion_solar_csp,6374.898608975105
5,2049,generacion_solar_csp,6530.32158240865
5,2050,generacion_solar_csp,6692.247691559427
6,2015,generacion_solar_csp,7332.0
6,2016,generacion_solar_csp,7332.0
6,2017,generacion_solar_csp,7332.0
6,2018,generacion_solar_csp,7332.0
6,2019,generacion_solar_csp,7332.0
6,2020,generacion_solar_csp,7123.937721362544
6,2021,generacion_solar_csp,6810.940010564269
6,2022,generacion_solar_csp,6507.243080118598
6,2023,generacion_solar_csp,6215.018221372424
6,2024,generacion_solar_csp,5917.39701758598
6,2025,generacion_solar_csp,5643.457054564708
6,2026,generacion_solar_csp,5379.597972883236
6,2027,generacion_solar_csp,5127.788586985521
6,2028,generacion_solar_csp,4886.469617503239
6,2029,generacion_solar_csp,4657.539276058794
6,2030,generacion_solar_csp,4439.509694022404
6,2031,generacion_solar_csp,4462.546405684917
6,2032,generacion_solar_csp,4486.554155186273
6,2033,generacion_solar_csp,4513.116427233675
6,2034,generacion_solar_csp,4541.724407407815
6,2035,generacion_solar_csp,4571.170146718945
