Proceso,Barra,Participacion,Perdidas
RES_XV_calef_electricidad,SING,1.0,0.05
RES_XV_refrigeracion,SING,1.0,0.05
RES_XV_iluminacion,SING,1.0,0.05
RES_XV_otros_electricos,SING,1.0,0.05
RES_XV_enfriamiento,SING,1.0,0.05
RES_I_coc_electricidad,SING,1.0,0.05
RES_I_refrigeracion,SING,1.0,0.05
RES_I_iluminacion,SING,1.0,0.05
RES_I_otros_electricos,SING,1.0,0.05
RES_I_enfriamiento,SING,1.0,0.05
RES_II_coc_electricidad,SING,1.0,0.05
RES_II_refrigeracion,SING,1.0,0.05
RES_II_iluminacion,SING,1.0,0.05
RES_II_otros_electricos,SING,1.0,0.05
RES_II_enfriamiento,SING,1.0,0.05
RES_III_coc_electricidad,II-III,1.0,0.05
RES_III_refrigeracion,II-III,1.0,0.05
RES_III_iluminacion,II-III,1.0,0.05
RES_III_otros_electricos,II-III,1.0,0.05
RES_III_enfriamiento,II-III,1.0,0.05
RES_IV_coc_electricidad,IV,1.0,0.05
RES_IV_refrigeracion,IV,1.0,0.05
RES_IV_iluminacion,IV,1.0,0.05
RES_IV_otros_electricos,IV,1.0,0.05
RES_IV_enfriamiento,IV,1.0,0.05
RES_V_calef_electricidad,V,1.0,0.05
RES_V_coc_electricidad,V,1.0,0.05
RES_V_refrigeracion,V,1.0,0.05
RES_V_iluminacion,V,1.0,0.05
RES_V_otros_electricos,V,1.0,0.05
RES_V_enfriamiento,V,1.0,0.05
RES_RM_calef_biomasa_electricidad,XIII,1.0,0.05
RES_RM_calef_electricidad,XIII,1.0,0.05
RES_RM_coc_electricidad,XIII,1.0,0.05
RES_RM_coc_gas_licuado_electricidad,XIII,1.0,0.05
RES_RM_refrigeracion,XIII,1.0,0.05
RES_RM_iluminacion,XIII,1.0,0.05
RES_RM_otros_electricos,XIII,1.0,0.05
RES_RM_enfriamiento,XIII,1.0,0.05
RES_VI_calef_electricidad,VI,1.0,0.05
RES_VI_refrigeracion,VI,1.0,0.05
RES_VI_iluminacion,VI,1.0,0.05
RES_VI_otros_electricos,VI,1.0,0.05
RES_VI_enfriamiento,VI,1.0,0.05
RES_VII_calef_electricidad,VII,1.0,0.05
RES_VII_refrigeracion,VII,1.0,0.05
RES_VII_iluminacion,VII,1.0,0.05
RES_VII_otros_electricos,VII,1.0,0.05
RES_VII_enfriamiento,VII,1.0,0.05
RES_VIII_calef_electricidad,VIII,1.0,0.05
RES_VIII_refrigeracion,VIII,1.0,0.05
RES_VIII_iluminacion,VIII,1.0,0.05
RES_VIII_otros_electricos,VIII,1.0,0.05
RES_VIII_enfriamiento,VIII,1.0,0.05
RES_IX_coc_electricidad,VIII,1.0,0.05
RES_IX_refrigeracion,VIII,1.0,0.05
RES_IX_iluminacion,VIII,1.0,0.05
RES_IX_otros_electricos,VIII,1.0,0.05
RES_XIV_calef_electricidad,X-XIV,1.0,0.05
RES_XIV_refrigeracion,X-XIV,1.0,0.05
RES_XIV_iluminacion,X-XIV,1.0,0.05
RES_XIV_otros_electricos,X-XIV,1.0,0.05
RES_XIV_enfriamiento,X-XIV,1.0,0.05
RES_X_calef_electricidad,X-XIV,1.0,0.05
RES_X_refrigeracion,X-XIV,1.0,0.05
