Barra,Agno,Etapa,Bloque,Demanda
SEN_SIC,2017,1,1,4861.624538973608
SEN_SIC,2017,1,2,4964.962582203159
SEN_SIC,2017,1,3,4986.965588598566
SEN_SIC,2017,1,4,5445.9753627210775
SEN_SIC,2017,1,5,5971.892797704852
SEN_SIC,2017,2,1,5197.434458947658
SEN_SIC,2017,2,2,5099.6205357610515
SEN_SIC,2017,2,3,5127.033762893168
SEN_SIC,2017,2,4,5797.929158930827
SEN_SIC,2017,2,5,5798.781670510762
SEN_SIC,2017,3,1,5874.983645155098
SEN_SIC,2017,3,2,5995.3968802870895
SEN_SIC,2017,3,3,6344.606464137794
SEN_SIC,2017,3,4,6767.221556269764
SEN_SIC,2017,3,5,7107.40393383673
SEN_SIC,2017,4,1,5566.386067839507
SEN_SIC,2017,4,2,5644.17962803325
SEN_SIC,2017,4,3,5989.9368123882
SEN_SIC,2017,4,4,6049.097140765761
SEN_SIC,2017,4,5,6458.644993740601
SEN_SIC,2017,5,1,5580.571090016706
SEN_SIC,2017,5,2,5932.693434782815
SEN_SIC,2017,5,3,5811.630478575284
SEN_SIC,2017,5,4,5862.890367591512
SEN_SIC,2017,5,5,6415.912403770076
SEN_SIC,2017,6,1,5713.8284642663375
SEN_SIC,2017,6,2,5952.216924321391
SEN_SIC,2017,6,3,6129.000526566424
SEN_SIC,2017,6,4,6016.3201049137815
SEN_SIC,2017,6,5,6618.313097434778
SEN_SIC,2017,7,1,5805.435652987731
SEN_SIC,2017,7,2,5982.202374096414
SEN_SIC,2017,7,3,6131.017097593479
SEN_SIC,2017,7,4,6111.954161144692
SEN_SIC,2017,7,5,6469.666765481696
SEN_SIC,2017,8,1,5531.023089153213
SEN_SIC,2017,8,2,6018.372135939555
SEN_SIC,2017,8,3,6242.7022284176455
SEN_SIC,2017,8,4,5739.520040404121
SEN_SIC,2017,8,5,6206.526213668184
SEN_SIC,2017,9,1,5483.084490580341
SEN_SIC,2017,9,2,5730.696623198752
SEN_SIC,2017,9,3,6026.34636347927
SEN_SIC,2017,9,4,5828.8610804444515
SEN_SIC,2017,9,5,6076.17184646589
SEN_SIC,2017,10,1,5482.261291579386
SEN_SIC,2017,10,2,5694.211956966779
SEN_SIC,2017,10,3,6093.2106472302985
SEN_SIC,2017,10,4,6392.363366286801
SEN_SIC,2017,10,5,6841.807999701813
SEN_SIC,2017,11,1,5765.1052755223845
SEN_SIC,2017,11,2,5881.60184021575
SEN_SIC,2017,11,3,6616.886536666518
SEN_SIC,2017,11,4,6924.018342858407
SEN_SIC,2017,11,5,7099.626032020326
SEN_SIC,2017,12,1,6052.029957729427
SEN_SIC,2017,12,2,6442.571436842086
SEN_SIC,2017,12,3,6630.344223217881
SEN_SIC,2017,12,4,7037.85292479464
SEN_SIC,2017,12,5,7304.834207802043
SEN_SING,2017,1,1,1735.3244415207491
SEN_SING,2017,1,2,1721.7306675651018
SEN_SING,2017,1,3,1685.120600138351
SEN_SING,2017,1,4,1732.588635492396
SEN_SING,2017,1,5,1798.1869144672835
SEN_SING,2017,2,1,1671.4592797942782
SEN_SING,2017,2,2,1646.6576403847382
SEN_SING,2017,2,3,1625.752224681622
SEN_SING,2017,2,4,1706.8902360162294
SEN_SING,2017,2,5,1720.8643633194101
SEN_SING,2017,3,1,1681.4770976495822
SEN_SING,2017,3,2,1678.0678072823584
SEN_SING,2017,3,3,1647.4292653921616
SEN_SING,2017,3,4,1664.324229892224
SEN_SING,2017,3,5,1712.6550206763384
SEN_SING,2017,4,1,1843.3837092105587
SEN_SING,2017,4,2,1761.9470760570298
SEN_SING,2017,4,3,1768.6361646683386
SEN_SING,2017,4,4,1755.9208262624388
SEN_SING,2017,4,5,1799.3544019856831
SEN_SING,2017,5,1,1850.162598423019
SEN_SING,2017,5,2,1869.7729823608483
SEN_SING,2017,5,3,1801.195125557632
SEN_SING,2017,5,4,1781.3372738285661
SEN_SING,2017,5,5,1851.0556257905982
SEN_SING,2017,6,1,1844.2665674292953
SEN_SING,2017,6,2,1856.7192312922755
SEN_SING,2017,6,3,1810.6903754727725
SEN_SING,2017,6,4,1773.6617099510177
SEN_SING,2017,6,5,1809.5260406231343
SEN_SING,2017,7,1,1811.0785819185912
SEN_SING,2017,7,2,1833.2845553229015
SEN_SING,2017,7,3,1784.2741202272077
SEN_SING,2017,7,4,1727.5055760938906
SEN_SING,2017,7,5,1738.2048910875121
SEN_SING,2017,8,1,1827.6387437952803
SEN_SING,2017,8,2,1853.1265611775634
SEN_SING,2017,8,3,1807.9924231078319
SEN_SING,2017,8,4,1745.2986870854206
SEN_SING,2017,8,5,1777.2633694276897
SEN_SING,2017,9,1,1825.7317907301706
SEN_SING,2017,9,2,1848.2168548682744
SEN_SING,2017,9,3,1809.6544446370049
SEN_SING,2017,9,4,1761.2044738467916
SEN_SING,2017,9,5,1789.3787104017485
SEN_SING,2017,10,1,1828.7371194914738
SEN_SING,2017,10,2,1852.9082920252404
SEN_SING,2017,10,3,1805.2489022026027
SEN_SING,2017,10,4,1847.3689840739034
SEN_SING,2017,10,5,1864.6023919833312
SEN_SING,2017,11,1,1888.1451196904607
SEN_SING,2017,11,2,1830.2047756417269
SEN_SING,2017,11,3,1837.7029560241374
SEN_SING,2017,11,4,1921.9079966870415
SEN_SING,2017,11,5,1938.3657432187276
SEN_SING,2017,12,1,1901.278808460871
SEN_SING,2017,12,2,1905.9210920594303
SEN_SING,2017,12,3,1823.3617852698715
SEN_SING,2017,12,4,1852.2337257726765
SEN_SING,2017,12,5,1869.7097736339078
SEN_SIC,2018,1,1,4980.933814050428
SEN_SIC,2018,1,2,5086.807879329138
SEN_SIC,2018,1,3,5109.350862170999
SEN_SIC,2018,1,4,5579.625209064343
SEN_SIC,2018,1,5,6118.449199750877
SEN_SIC,2018,2,1,5324.9848554427435
SEN_SIC,2018,2,2,5224.770477804285
SEN_SIC,2018,2,3,5252.856453773838
SEN_SIC,2018,2,4,5940.21631404808
SEN_SIC,2018,2,5,5941.089747140523
SEN_SIC,2018,3,1,6019.161796752878
SEN_SIC,2018,3,2,6142.53009673574
SEN_SIC,2018,3,3,6500.3096435618045
SEN_SIC,2018,3,4,6933.296145471428
SEN_SIC,2018,3,5,7281.826949070897
SEN_SIC,2018,4,1,5702.990916944503
SEN_SIC,2018,4,2,5782.693611255445
SEN_SIC,2018,4,3,6136.936033145151
SEN_SIC,2018,4,4,6197.54821693348
SEN_SIC,2018,4,5,6617.146796173992
SEN_SIC,2018,5,1,5717.524054180639
