Escenario,Barra,Agno,Etapa,Bloque,Demanda
0,SEN_SIC,2015,1,1,
0,SEN_SIC,2015,1,2,
0,SEN_SIC,2015,1,3,
0,SEN_SIC,2015,1,4,
0,SEN_SIC,2015,1,5,
0,SEN_SIC,2015,2,1,
0,SEN_SIC,2015,2,2,
0,SEN_SIC,2015,2,3,
0,SEN_SIC,2015,2,4,
0,SEN_SIC,2015,2,5,
0,SEN_SIC,2015,3,1,
0,SEN_SIC,2015,3,2,
0,SEN_SIC,2015,3,3,
0,SEN_SIC,2015,3,4,
0,SEN_SIC,2015,3,5,
0,SEN_SIC,2015,4,1,
0,SEN_SIC,2015,4,2,
0,SEN_SIC,2015,4,3,
0,SEN_SIC,2015,4,4,
0,SEN_SIC,2015,4,5,
0,SEN_SIC,2015,5,1,
0,SEN_SIC,2015,5,2,
0,SEN_SIC,2015,5,3,
0,SEN_SIC,2015,5,4,
0,SEN_SIC,2015,5,5,
0,SEN_SIC,2015,6,1,
0,SEN_SIC,2015,6,2,
0,SEN_SIC,2015,6,3,
0,SEN_SIC,2015,6,4,
0,SEN_SIC,2015,6,5,
0,SEN_SIC,2015,7,1,
0,SEN_SIC,2015,7,2,
0,SEN_SIC,2015,7,3,
0,SEN_SIC,2015,7,4,
0,SEN_SIC,2015,7,5,
0,SEN_SIC,2015,8,1,
0,SEN_SIC,2015,8,2,
0,SEN_SIC,2015,8,3,
0,SEN_SIC,2015,8,4,
0,SEN_SIC,2015,8,5,
0,SEN_SIC,2015,9,1,
0,SEN_SIC,2015,9,2,
0,SEN_SIC,2015,9,3,
0,SEN_SIC,2015,9,4,
0,SEN_SIC,2015,9,5,
0,SEN_SIC,2015,10,1,
0,SEN_SIC,2015,10,2,
0,SEN_SIC,2015,10,3,
0,SEN_SIC,2015,10,4,
0,SEN_SIC,2015,10,5,
0,SEN_SIC,2015,11,1,
0,SEN_SIC,2015,11,2,
0,SEN_SIC,2015,11,3,
0,SEN_SIC,2015,11,4,
0,SEN_SIC,2015,11,5,
0,SEN_SIC,2015,12,1,
0,SEN_SIC,2015,12,2,
0,SEN_SIC,2015,12,3,
0,SEN_SIC,2015,12,4,
0,SEN_SIC,2015,12,5,
1,SEN_SIC,2015,1,1,
1,SEN_SIC,2015,1,2,
1,SEN_SIC,2015,1,3,
1,SEN_SIC,2015,1,4,
1,SEN_SIC,2015,1,5,
1,SEN_SIC,2015,2,1,
1,SEN_SIC,2015,2,2,
1,SEN_SIC,2015,2,3,
1,SEN_SIC,2015,2,4,
1,SEN_SIC,2015,2,5,
1,SEN_SIC,2015,3,1,
1,SEN_SIC,2015,3,2,
1,SEN_SIC,2015,3,3,
1,SEN_SIC,2015,3,4,
1,SEN_SIC,2015,3,5,
1,SEN_SIC,2015,4,1,
1,SEN_SIC,2015,4,2,
1,SEN_SIC,2015,4,3,
1,SEN_SIC,2015,4,4,
1,SEN_SIC,2015,4,5,
1,SEN_SIC,2015,5,1,
1,SEN_SIC,2015,5,2,
