Proceso,Hidrologia,Etapa,Factor_Planta
ABANICO,1,1,0.615215844
ABANICO,1,2,0.298494398
ABANICO,1,3,0.268817204
ABANICO,1,4,0.576286765
ABANICO,1,5,0.75436828
ABANICO,1,6,0.632455065
ABANICO,1,7,0.265753479
ABANICO,1,8,0.279095509
ABANICO,1,9,0.436172386
ABANICO,1,10,0.749229127
ABANICO,1,11,0.151348039
ABANICO,1,12,0.204577799
ABANICO,2,1,0.177103099
ABANICO,2,2,0.168067227
ABANICO,2,3,0.063448767
ABANICO,2,4,0.514297386
ABANICO,2,5,0.138361796
ABANICO,2,6,0.300551471
ABANICO,2,7,0.209025142
ABANICO,2,8,0.213571316
ABANICO,2,9,0.921568627
ABANICO,2,10,0.535855471
ABANICO,2,11,0.392973856
ABANICO,2,12,0.422299968
ABANICO,3,1,0.350845984
ABANICO,3,2,0.229122899
ABANICO,3,3,0.21732685
ABANICO,3,4,0.623366013
ABANICO,3,5,0.444141366
ABANICO,3,6,0.333333333
ABANICO,3,7,0.231854839
ABANICO,3,8,0.616698292
ABANICO,3,9,0.778492647
ABANICO,3,10,0.61827957
ABANICO,3,11,0.510314542
ABANICO,3,12,0.279589658
ABANICO,4,1,0.528047913
ABANICO,4,2,0.33558736
ABANICO,4,3,0.999960468
ABANICO,4,4,1.0
ABANICO,4,5,0.238970588
ABANICO,4,6,0.26807598
ABANICO,4,7,0.814160342
ABANICO,4,8,0.55028463
ABANICO,4,9,0.871323529
ABANICO,4,10,0.444240196
ABANICO,4,11,0.547794118
ABANICO,4,12,0.658009171
ABANICO,5,1,0.277810721
ABANICO,5,2,0.239627101
ABANICO,5,3,0.231558349
ABANICO,5,4,1.0
ABANICO,5,5,0.204577799
ABANICO,5,6,0.19750817
ABANICO,5,7,0.768402119
ABANICO,5,8,0.999960468
ABANICO,5,9,0.855290033
ABANICO,5,10,0.171370968
ABANICO,5,11,0.172283497
ABANICO,5,12,0.165342347
ABANICO,6,1,0.484463947
ABANICO,6,2,0.264465161
ABANICO,6,3,0.186590765
ABANICO,6,4,0.301674837
ABANICO,6,5,0.30577957
ABANICO,6,6,0.260825163
ABANICO,6,7,0.200723435
ABANICO,6,8,0.214065465
ABANICO,6,9,0.564644608
ABANICO,6,10,0.689931214
ABANICO,6,11,0.536458333
ABANICO,6,12,0.742409867
ABANICO,7,1,0.324359583
ABANICO,7,2,0.198485644
ABANICO,7,3,0.19054396
ABANICO,7,4,0.61938317
ABANICO,7,5,0.67224067
ABANICO,7,6,0.333946078
ABANICO,7,7,0.384349304
ABANICO,7,8,0.48920778
ABANICO,7,9,0.826184641
ABANICO,7,10,0.628162555
ABANICO,7,11,0.531658497
ABANICO,7,12,0.487527672
ABANICO,8,1,0.191532258
ABANICO,8,2,0.18557423
ABANICO,8,3,0.184910658
ABANICO,8,4,0.544526144
ABANICO,8,5,0.205763757
