Proceso,Agno,Etapa,Factor_Planta
ABANICO,2017,1,0.179277356
ABANICO,2017,2,0.174194678
ABANICO,2017,3,0.076889627
ABANICO,2017,4,0.491830065
ABANICO,2017,5,0.269805503
ABANICO,2017,6,0.202001634
ABANICO,2017,7,0.212484187
ABANICO,2017,8,0.590014231
ABANICO,2017,9,0.656760621
ABANICO,2017,10,0.7537753
ABANICO,2017,11,0.730800654
ABANICO,2017,12,0.752194023
ALFALFAL,2017,1,0.999909387
ALFALFAL,2017,2,1.00003344
ALFALFAL,2017,3,0.764165761
ALFALFAL,2017,4,0.440543071
ALFALFAL,2017,5,0.477226048
ALFALFAL,2017,6,0.172830836
ALFALFAL,2017,7,0.19262716
ALFALFAL,2017,8,0.326960251
ALFALFAL,2017,9,0.213483146
ALFALFAL,2017,10,0.246919174
ALFALFAL,2017,11,0.647393883
ALFALFAL,2017,12,0.714102332
ALFALFAL_2,2017,1,0.337752525
ALFALFAL_2,2017,2,0.596929113
ALFALFAL_2,2017,3,0.81744868
ALFALFAL_2,2017,4,0.775410354
ALFALFAL_2,2017,5,0.370132779
ALFALFAL_2,2017,6,0.220643939
ALFALFAL_2,2017,7,0.216428397
ALFALFAL_2,2017,8,0.220857771
ALFALFAL_2,2017,9,0.227220118
ALFALFAL_2,2017,10,0.225338058
ALFALFAL_2,2017,11,0.272411616
ALFALFAL_2,2017,12,0.403174894
ALLIPEN,2017,1,0.976601828
ALLIPEN,2017,2,0.980916711
ALLIPEN,2017,3,0.976601828
ALLIPEN,2017,4,0.983146067
ALLIPEN,2017,5,0.996737949
ALLIPEN,2017,6,0.998751561
ALLIPEN,2017,7,0.996737949
ALLIPEN,2017,8,0.996737949
ALLIPEN,2017,9,0.998751561
ALLIPEN,2017,10,0.775240627
ALLIPEN,2017,11,0.983146067
ALLIPEN,2017,12,0.976601828
ALTO_HOSPICIO,2017,1,0.708699902
ALTO_HOSPICIO,2017,2,0.730519481
ALTO_HOSPICIO,2017,3,0.708699902
ALTO_HOSPICIO,2017,4,0.732323232
ALTO_HOSPICIO,2017,5,0.708699902
ALTO_HOSPICIO,2017,6,0.732323232
ALTO_HOSPICIO,2017,7,0.708699902
ALTO_HOSPICIO,2017,8,0.708699902
ALTO_HOSPICIO,2017,9,0.732323232
ALTO_HOSPICIO,2017,10,0.708699902
ALTO_HOSPICIO,2017,11,0.732323232
ALTO_HOSPICIO,2017,12,0.708699902
ALTO_RENAICO,2017,1,0.860215054
ALTO_RENAICO,2017,2,0.873015873
ALTO_RENAICO,2017,3,0.860215054
ALTO_RENAICO,2017,4,0.87962963
ALTO_RENAICO,2017,5,0.860215054
ALTO_RENAICO,2017,6,0.87962963
ALTO_RENAICO,2017,7,0.860215054
ALTO_RENAICO,2017,8,0.286738351
ALTO_RENAICO,2017,9,0.87962963
ALTO_RENAICO,2017,10,0.860215054
ALTO_RENAICO,2017,11,0.87962963
ALTO_RENAICO,2017,12,0.860215054
ANCOA,2017,1,0.644350129
ANCOA,2017,2,0.444811077
