ID_flujo,ID_Proceso,ID_Producto,Tipo,Intensidad,Factor_Unidad
1,1,322,2,3.764,1163
2,1,26,1,0.0,1163
3,1,27,1,0.0,1163
4,1,28,1,0.0,1163
5,1,40,1,0.0,1163
6,2,40,2,1.176,1163
7,2,40,1,0.0,1163
8,3,40,2,1.0,1163
9,3,40,1,0.0,1163
10,4,26,2,0.5,1163
11,4,15,1,0.0,1163
12,5,26,2,1.0,1163
13,5,21,1,0.0,1163
14,10,40,2,0.73,1163
15,10,40,2,0.73,1163
16,10,24,1,0.0,1163
17,11,40,2,0.87,1163
18,11,40,2,0.87,1163
19,11,3,1,0.0,1163
20,12,40,2,1.0,1163
21,12,40,2,1.0,1163
22,12,25,1,0.0,1163
23,6,26,2,0.82,1163
24,6,4,1,0.0,1163
25,7,26,2,0.5,1163
26,7,16,1,0.0,1163
27,8,26,2,0.77,1163
28,8,7,1,0.0,1163
29,9,26,2,0.77,1163
30,9,21,1,0.0,1163
31,13,40,2,0.77,1163
32,13,40,2,0.77,1163
33,13,21,1,0.0,1163
34,14,40,2,0.73,1163
35,14,40,2,0.73,1163
36,14,24,1,0.0,1163
37,17,27,2,0.3,1163
38,17,3,1,0.0,1163
39,15,27,2,0.879,1163
40,15,14,1,0.0,1163
41,16,27,2,0.896,1163
42,16,14,1,0.0,1163
43,18,28,2,1.0,1163
44,18,14,1,0.0,1163
45,19,332,2,3.764,1163
46,19,26,1,0.0,1163
47,19,27,1,0.0,1163
48,19,28,1,0.0,1163
49,19,40,1,0.0,1163
50,20,40,2,1.176,1163
51,20,40,1,0.0,1163
52,21,40,2,1.0,1163
53,21,40,1,0.0,1163
54,22,26,2,0.5,1163
55,22,15,1,0.0,1163
56,23,26,2,1.0,1163
57,23,21,1,0.0,1163
58,24,40,2,0.73,1163
59,24,40,2,0.73,1163
60,24,24,1,0.0,1163
61,25,40,2,0.87,1163
62,25,40,2,0.87,1163
63,25,3,1,0.0,1163
64,26,40,2,1.0,1163
65,26,40,2,1.0,1163
66,26,25,1,0.0,1163
67,27,27,2,0.879,1163
68,27,14,1,0.0,1163
69,28,27,2,0.896,1163
70,28,14,1,0.0,1163
71,29,28,2,1.0,1163
72,29,14,1,0.0,1163
73,30,323,2,0.285,1163
74,30,26,1,0.0,1163
75,30,27,1,0.0,1163
76,30,28,1,0.0,1163
77,30,40,1,0.0,1163
78,31,40,2,1.176,1163
79,31,40,1,0.0,1163
80,32,40,2,1.0,1163
81,32,40,1,0.0,1163
82,33,26,2,0.73,1163
83,33,24,1,0.0,1163
84,34,26,2,0.82,1163
85,34,4,1,0.0,1163
86,35,26,2,1.0,1163
87,35,21,1,0.0,1163
88,36,26,2,0.5,1163
89,36,15,1,0.0,1163
90,37,26,2,0.87,1163
91,37,3,1,0.0,1163
92,38,26,2,0.77,1163
93,38,7,1,0.0,1163
94,39,26,2,0.82,1163
95,39,14,1,0.0,1163
96,41,27,2,0.879,1163
97,41,14,1,0.0,1163
98,42,27,2,0.896,1163
99,42,14,1,0.0,1163
100,43,28,2,1.0,1163
101,43,14,1,0.0,1163
102,44,40,2,0.73,1163
