Hidro,ID_Hidro,Probabilidad_Excedencia
17,17,0.017241379
19,19,0.034482759
18,18,0.051724138
30,30,0.068965517
43,43,0.086206897
2,2,0.103448276
9,9,0.120689655
15,15,0.137931034
39,39,0.155172414
23,23,0.172413793
16,16,0.189655172
20,20,0.206896552
42,42,0.224137931
38,38,0.24137931
24,24,0.25862069
3,3,0.275862069
31,31,0.293103448
14,14,0.310344828
32,32,0.327586207
29,29,0.344827586
10,10,0.362068966
40,40,0.379310345
21,21,0.396551724
12,12,0.413793103
34,34,0.431034483
22,22,0.448275862
37,37,0.465517241
56,56,0.482758621
28,28,0.5
45,45,0.517241379
11,11,0.534482759
4,4,0.551724138
41,41,0.568965517
46,46,0.586206897
8,8,0.603448276
25,25,0.620689655
58,58,0.637931034
13,13,0.655172414
6,6,0.672413793
1,1,0.689655172
44,44,0.706896552
55,55,0.724137931
7,7,0.74137931
27,27,0.75862069
26,26,0.775862069
51,51,0.793103448
57,57,0.810344828
47,47,0.827586207
33,33,0.844827586
52,52,0.862068966
48,48,0.879310345
49,49,0.896551724
36,36,0.913793103
35,35,0.931034483
5,5,0.948275862
50,50,0.965517241
53,53,0.982758621
54,54,1
