Segmento,Agno,Rendimiento_min
LDV,2017,0
LDV,2018,0
LDV,2019,0
LDV,2020,0
LDV,2021,1708
LDV,2022,1708
LDV,2023,1708
LDV,2024,1708
LDV,2025,1708
LDV,2026,1708
LDV,2027,2562
LDV,2028,2562
LDV,2029,2562
LDV,2030,2562
LDV,2031,2562
LDV,2032,2562
LDV,2033,2562
LDV,2034,2562
LDV,2035,2562
LDV,2036,2562
LDV,2037,2562
LDV,2038,2562
LDV,2039,2562
LDV,2040,2562
LDV,2041,2562
LDV,2042,2562
LDV,2043,2562
LDV,2044,2562
LDV,2045,2562
LDV,2046,2562
LDV,2047,2562
LDV,2048,2562
LDV,2049,2562
LDV,2050,2562
LCV,2017,0
LCV,2018,0
LCV,2019,0
LCV,2020,0
LCV,2021,0
LCV,2022,0
LCV,2023,0
LCV,2024,0
LCV,2025,0
LCV,2026,0
LCV,2027,0
LCV,2028,0
LCV,2029,0
LCV,2030,0
LCV,2031,0
LCV,2032,0
LCV,2033,0
LCV,2034,0
LCV,2035,0
LCV,2036,0
LCV,2037,0
LCV,2038,0
LCV,2039,0
LCV,2040,0
LCV,2041,0
LCV,2042,0
LCV,2043,0
LCV,2044,0
LCV,2045,0
LCV,2046,0
LCV,2047,0
LCV,2048,0
LCV,2049,0
LCV,2050,0
MDV,2017,0
MDV,2018,0
MDV,2019,0
MDV,2020,0
MDV,2021,0
MDV,2022,0
MDV,2023,0
MDV,2024,0
MDV,2025,0
MDV,2026,0
MDV,2027,0
MDV,2028,0
MDV,2029,0
MDV,2030,0
MDV,2031,0
MDV,2032,0
MDV,2033,0
MDV,2034,0
MDV,2035,0
MDV,2036,0
MDV,2037,0
MDV,2038,0
MDV,2039,0
MDV,2040,0
MDV,2041,0
MDV,2042,0
MDV,2043,0
MDV,2044,0
MDV,2045,0
MDV,2046,0
MDV,2047,0
MDV,2048,0
MDV,2049,0
MDV,2050,0
HDV,2017,0
HDV,2018,0
HDV,2019,0
HDV,2020,0
HDV,2021,0
HDV,2022,0
HDV,2023,0
HDV,2024,0
HDV,2025,0
HDV,2026,0
HDV,2027,0
HDV,2028,0
HDV,2029,0
HDV,2030,0
HDV,2031,0
HDV,2032,0
HDV,2033,0
HDV,2034,0
HDV,2035,0
HDV,2036,0
HDV,2037,0
HDV,2038,0
HDV,2039,0
HDV,2040,0
HDV,2041,0
HDV,2042,0
HDV,2043,0
HDV,2044,0
HDV,2045,0
HDV,2046,0
HDV,2047,0
HDV,2048,0
HDV,2049,0
HDV,2050,0
