ID_Proceso,ID_flujo,Participacion
I_AZU_produccion_azucar,2,0.9448
I_AZU_produccion_azucar,3,0.0416
I_AZU_produccion_azucar,4,0.005
I_AZU_produccion_azucar,5,0.0086
I_AZU_nuevo_azucar,46,0.9448
I_AZU_nuevo_azucar,47,0.0416
I_AZU_nuevo_azucar,48,0.005
I_AZU_nuevo_azucar,49,0.0086
I_CEL_produccion_celulosa,74,0.5553
I_CEL_produccion_celulosa,75,0.1452
I_CEL_produccion_celulosa,76,0.0103
I_CEL_produccion_celulosa,77,0.2892
I_CEL_impuesto_celulosa,123,0.5553
I_CEL_impuesto_celulosa,124,0.1452
I_CEL_impuesto_celulosa,125,0.0103
I_CEL_impuesto_celulosa,126,0.2892
I_CEL_nuevo_celulosa,172,0.5553
I_CEL_nuevo_celulosa,173,0.1452
I_CEL_nuevo_celulosa,174,0.0103
I_CEL_nuevo_celulosa,175,0.2892
I_CEM_produccion_cemento,205,0.7835
I_CEM_produccion_cemento,206,0.1667
I_CEM_produccion_cemento,207,0.0498
I_CEM_nuevo_cemento,233,0.7835
I_CEM_nuevo_cemento,234,0.1667
I_CEM_nuevo_cemento,235,0.0498
I_HIE_produccion_hierro,247,0.3185
I_HIE_produccion_hierro,248,0.6692
I_HIE_produccion_hierro,249,0.0123
I_HIE_nuevo_hierro,263,0.3185
I_HIE_nuevo_hierro,264,0.6692
I_HIE_nuevo_hierro,265,0.0123
I_PES_produccion_pesca,277,0.6076
I_PES_produccion_pesca,278,0.2108
I_PES_produccion_pesca,279,0.004
I_PES_produccion_pesca,280,0.1776
I_PES_impuesto_pesca,318,0.6076
I_PES_impuesto_pesca,319,0.2108
I_PES_impuesto_pesca,320,0.004
I_PES_impuesto_pesca,321,0.1776
I_PES_nuevo_pesca,359,0.6076
I_PES_nuevo_pesca,360,0.2108
I_PES_nuevo_pesca,361,0.004
I_PES_nuevo_pesca,362,0.1776
I_SID_produccion_acero,388,0.4262
I_SID_produccion_acero,389,0.4606
I_SID_produccion_acero,390,0.0562
I_SID_produccion_acero,391,0.057
I_SID_nuevo_acero,418,0.4262
I_SID_nuevo_acero,419,0.4606
I_SID_nuevo_acero,420,0.0562
I_SID_nuevo_acero,421,0.057
I_PET_produccion_petroquimica,442,0.3135
I_PET_produccion_petroquimica,443,0.1716
I_PET_produccion_petroquimica,444,0.0094
I_PET_produccion_petroquimica,447,0.5055
I_PET_nuevo_petroquimica,470,0.3135
I_PET_nuevo_petroquimica,471,0.1716
I_PET_nuevo_petroquimica,472,0.0094
I_PET_nuevo_petroquimica,473,0.5055
I_MIN_produccion_mineral,490,0.7295
I_MIN_produccion_mineral,491,0.1461
I_MIN_produccion_mineral,492,0.0187
I_MIN_produccion_mineral,493,0.1057
I_MIN_nuevo_mineral,545,0.7295
I_MIN_nuevo_mineral,546,0.1461
I_MIN_nuevo_mineral,547,0.0187
I_MIN_nuevo_mineral,548,0.1057
I_IND_produccion_manufactura,587,0.4057621827949469
I_IND_produccion_manufactura,588,0.2000842971148618
I_IND_produccion_manufactura,589,0.03013574222757224
I_IND_produccion_manufactura,590,0.364017777862619
I_IND_impuesto_manufactura,640,0.4309221900238523
I_IND_impuesto_manufactura,641,0.21249088051582
I_IND_impuesto_manufactura,642,0.03200436262751057
I_IND_impuesto_manufactura,643,0.3245825668328172
I_IND_nuevo_manufactura,702,0.4309221900238523
I_IND_nuevo_manufactura,703,0.03200436262751057
I_IND_nuevo_manufactura,704,0.21249088051582
I_IND_nuevo_manufactura,705,0.3245825668328172
I_COB_produccion_cobre,745,0.1228
I_COB_produccion_cobre,746,0.6666
I_COB_produccion_cobre,747,0.0077
I_COB_produccion_cobre,748,0.1571
I_COB_produccion_cobre,749,0.0458
I_COB_impuesto_cobre,805,0.1228
I_COB_impuesto_cobre,806,0.6666
I_COB_impuesto_cobre,807,0.0077
I_COB_impuesto_cobre,808,0.1571
I_COB_impuesto_cobre,809,0.0458
I_COB_nuevo_cobre,853,0.1228
I_COB_nuevo_cobre,854,0.6666
I_COB_nuevo_cobre,855,0.0077
I_COB_nuevo_cobre,856,0.1571
I_COB_nuevo_cobre,857,0.0458
COM_comercio,1386,0.4997
COM_comercio,1387,0.1172
COM_comercio,1388,0.0861
COM_comercio,1389,0.2914
COM_comercio,1390,0.0024
COM_comercio,1391,0.0032
PUB_publico,1405,0.613
PUB_publico,1406,0.084
PUB_publico,1407,0.138
PUB_publico,1408,0.14
PUB_publico,1409,0.005
PUB_publico,1410,0.02
REF_energia,909,0.5302
REF_energia,910,0.0004
REF_energia,911,0.0046
REF_energia,912,0.0167
REF_energia,913,0.1355
REF_energia,914,0.1328
REF_energia,915,0.0383
REF_energia,916,0.0333
REF_energia,917,0.1082
