Zona_ERNC,Agno,Etapa,Bloque,Perfil
Zona_1,2017,1,1,0.0333
Zona_1,2017,1,2,0.0729
Zona_1,2017,1,3,0.5372
Zona_1,2017,1,4,0.7622
Zona_1,2017,1,5,0.3756
Zona_1,2017,2,1,0.0355
Zona_1,2017,2,2,0.0299
Zona_1,2017,2,3,0.5503
Zona_1,2017,2,4,0.7771
Zona_1,2017,2,5,0.3976
Zona_1,2017,3,1,0.0421
Zona_1,2017,3,2,0.0434
Zona_1,2017,3,3,0.518
Zona_1,2017,3,4,0.6423
Zona_1,2017,3,5,0.272
Zona_1,2017,4,1,0.0581
Zona_1,2017,4,2,0.1508
Zona_1,2017,4,3,0.3839
Zona_1,2017,4,4,0.5022
Zona_1,2017,4,5,0.132
Zona_1,2017,5,1,0.1412
Zona_1,2017,5,2,0.2866
Zona_1,2017,5,3,0.3236
Zona_1,2017,5,4,0.4297
Zona_1,2017,5,5,0.0846
Zona_1,2017,6,1,0.229
Zona_1,2017,6,2,0.3134
Zona_1,2017,6,3,0.3188
Zona_1,2017,6,4,0.2145
Zona_1,2017,6,5,0.036
Zona_1,2017,7,1,0.1802
Zona_1,2017,7,2,0.2677
Zona_1,2017,7,3,0.3983
Zona_1,2017,7,4,0.3391
Zona_1,2017,7,5,0.0839
Zona_1,2017,8,1,0.1694
Zona_1,2017,8,2,0.2322
Zona_1,2017,8,3,0.43
Zona_1,2017,8,4,0.4216
Zona_1,2017,8,5,0.1308
Zona_1,2017,9,1,0.1203
Zona_1,2017,9,2,0.2454
Zona_1,2017,9,3,0.399
Zona_1,2017,9,4,0.4996
Zona_1,2017,9,5,0.1357
Zona_1,2017,10,1,0.0765
Zona_1,2017,10,2,0.1354
Zona_1,2017,10,3,0.425
Zona_1,2017,10,4,0.5109
Zona_1,2017,10,5,0.1412
Zona_1,2017,11,1,0.063
Zona_1,2017,11,2,0.1422
Zona_1,2017,11,3,0.5068
Zona_1,2017,11,4,0.6671
Zona_1,2017,11,5,0.2431
Zona_1,2017,12,1,0.0492
Zona_1,2017,12,2,0.1461
Zona_1,2017,12,3,0.4691
Zona_1,2017,12,4,0.7341
Zona_1,2017,12,5,0.32
Zona_2,2017,1,1,0.0885
Zona_2,2017,1,2,0.2721
Zona_2,2017,1,3,0.2147
Zona_2,2017,1,4,0.3171
Zona_2,2017,1,5,0.3848
Zona_2,2017,2,1,0.0761
Zona_2,2017,2,2,0.2343
Zona_2,2017,2,3,0.1904
Zona_2,2017,2,4,0.3348
Zona_2,2017,2,5,0.3853
Zona_2,2017,3,1,0.1927
Zona_2,2017,3,2,0.4622
Zona_2,2017,3,3,0.2523
Zona_2,2017,3,4,0.3218
Zona_2,2017,3,5,0.3583
Zona_2,2017,4,1,0.1912
