Proceso,Agno,Pmax
I_COB_motriz_hidrogeno,2017,0.0
I_COB_motriz_hidrogeno,2018,0.0
I_COB_motriz_hidrogeno,2019,0.0
I_COB_motriz_hidrogeno,2020,0.0
I_COB_motriz_hidrogeno,2021,0.0
I_COB_motriz_hidrogeno,2022,0.0
I_COB_motriz_hidrogeno,2023,0.0
I_COB_motriz_hidrogeno,2024,0.0
I_COB_motriz_hidrogeno,2025,0.0
I_COB_motriz_hidrogeno,2026,0.0
I_COB_motriz_hidrogeno,2027,0.0
I_COB_motriz_hidrogeno,2028,0.0
I_COB_motriz_hidrogeno,2029,0.0
I_COB_motriz_hidrogeno,2030,0.0
I_COB_motriz_hidrogeno,2031,0.0
I_COB_motriz_hidrogeno,2032,0.0
I_COB_motriz_hidrogeno,2033,0.0
I_COB_motriz_hidrogeno,2034,0.0
I_COB_motriz_hidrogeno,2035,0.0
I_COB_motriz_hidrogeno,2036,58.0
I_COB_motriz_hidrogeno,2037,88.0
I_COB_motriz_hidrogeno,2038,117.0
I_COB_motriz_hidrogeno,2039,146.0
I_COB_motriz_hidrogeno,2040,175.0
I_COB_motriz_hidrogeno,2041,204.0
I_COB_motriz_hidrogeno,2042,234.0
I_COB_motriz_hidrogeno,2043,263.0
I_COB_motriz_hidrogeno,2044,292.0
I_COB_motriz_hidrogeno,2045,321.0
I_COB_motriz_hidrogeno,2046,350.0
I_COB_motriz_hidrogeno,2047,379.0
I_COB_motriz_hidrogeno,2048,409.0
I_COB_motriz_hidrogeno,2049,438.0
I_COB_motriz_hidrogeno,2050,467.0
I_COB_impuesto_motriz_hidrogeno,2017,0.0
I_COB_impuesto_motriz_hidrogeno,2018,0.0
I_COB_impuesto_motriz_hidrogeno,2019,0.0
I_COB_impuesto_motriz_hidrogeno,2020,0.0
I_COB_impuesto_motriz_hidrogeno,2021,0.0
I_COB_impuesto_motriz_hidrogeno,2022,0.0
I_COB_impuesto_motriz_hidrogeno,2023,0.0
I_COB_impuesto_motriz_hidrogeno,2024,0.0
I_COB_impuesto_motriz_hidrogeno,2025,0.0
I_COB_impuesto_motriz_hidrogeno,2026,0.0
I_COB_impuesto_motriz_hidrogeno,2027,0.0
I_COB_impuesto_motriz_hidrogeno,2028,0.0
I_COB_impuesto_motriz_hidrogeno,2029,0.0
I_COB_impuesto_motriz_hidrogeno,2030,0.0
I_COB_impuesto_motriz_hidrogeno,2031,0.0
I_COB_impuesto_motriz_hidrogeno,2032,0.0
I_COB_impuesto_motriz_hidrogeno,2033,0.0
I_COB_impuesto_motriz_hidrogeno,2034,0.0
I_COB_impuesto_motriz_hidrogeno,2035,5.0
I_COB_impuesto_motriz_hidrogeno,2036,9.0
I_COB_impuesto_motriz_hidrogeno,2037,14.0
I_COB_impuesto_motriz_hidrogeno,2038,18.0
I_COB_impuesto_motriz_hidrogeno,2039,23.0
I_COB_impuesto_motriz_hidrogeno,2040,27.0
I_COB_impuesto_motriz_hidrogeno,2041,32.0
I_COB_impuesto_motriz_hidrogeno,2042,36.0
I_COB_impuesto_motriz_hidrogeno,2043,41.0
I_COB_impuesto_motriz_hidrogeno,2044,45.0
I_COB_impuesto_motriz_hidrogeno,2045,50.0
I_COB_impuesto_motriz_hidrogeno,2046,55.0
I_COB_impuesto_motriz_hidrogeno,2047,59.0
I_COB_impuesto_motriz_hidrogeno,2048,64.0
I_COB_impuesto_motriz_hidrogeno,2049,68.0
I_COB_impuesto_motriz_hidrogeno,2050,73.0
I_COB_nuevo_motriz_hidrogeno,2017,0.0
I_COB_nuevo_motriz_hidrogeno,2018,0.0
I_COB_nuevo_motriz_hidrogeno,2019,0.0
I_COB_nuevo_motriz_hidrogeno,2020,0.0
I_COB_nuevo_motriz_hidrogeno,2021,0.0
I_COB_nuevo_motriz_hidrogeno,2022,0.0
I_COB_nuevo_motriz_hidrogeno,2023,0.0
I_COB_nuevo_motriz_hidrogeno,2024,0.0
I_COB_nuevo_motriz_hidrogeno,2025,0.0
I_COB_nuevo_motriz_hidrogeno,2026,0.0
I_COB_nuevo_motriz_hidrogeno,2027,0.0
I_COB_nuevo_motriz_hidrogeno,2028,0.0
I_COB_nuevo_motriz_hidrogeno,2029,0.0
I_COB_nuevo_motriz_hidrogeno,2030,0.0
I_COB_nuevo_motriz_hidrogeno,2031,0.0
I_COB_nuevo_motriz_hidrogeno,2032,0.0
