Precios,ID
carbon,1
electricidad,2
diesel,3
gas_natural,4
petroleo_combustible,5
biomasa_iym,6
coque_petroleo,7
gas_licuado,8
coque_mineral,9
kerosene,10
gas_coque,11
gas_alto_horno,12
solar,13
hidrogeno,14
gasolina,15
electricidad_iym,16
electricidad_residencial,17
diesel_iym,18
diesel_residencial,19
biomasa_residencial,20
diesel_transporte,21
fuel_oil,22
carbon_generacion,23
diesel_generacion,24
gas_natural_generacion,25
biomasa_generacion,26
diesel_transporte_pax,27
