Proceso,ID,ID_Sector,ID_Producto,Tipo ,Capacidad_Instalada,Fplanta,Estado,Agno_ini,Agno_fin,Vutil,Zona,ID_Curva,ID_Tecnologia,ID_Ener,ID_Precio_energ,ID_Costo_inversion,ConEsp,Cvar_no,Fcal,Fprecio,ID_Barra,Es_ERNC,ID_Zona_ERNC,Pmin,Regula,ConPropio,Inercia,Reserva_Primaria,Reserva_Secundaria,Impuesto,SPT,ID_Seg_Tran
LOS_CONDORES,1,8,14,1,150.0,0,1,2023,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
LA_MINA,2,8,14,1,34.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.15,0,0,0,0,1,0
CIPRESES,3,8,14,1,105.0,0,1,1995,2100,25,1,0,12,25,0,10,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.0,3,0,0,0,1,0
OJOS_DE_AGUA,4,8,14,1,9.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
ISLA,5,8,14,1,69.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.014493,0,0,0,0,1,0
CURILLINQUE,6,8,14,1,87.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.022472,0,0,0,0,1,0
LOMA_ALTA,7,8,14,1,39.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.025641,0,0,0,0,1,0
LOS_HIERROS,8,8,14,1,25.06,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.002394,0,0,0,0,1,0
LOS_HIERROS_2,9,8,14,1,6.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
ANCOA,10,8,14,1,24.66,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.086815,0,0,0,0,1,0
ROBLERIA,11,8,14,1,4.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0025,0,0,0,0,1,0
PEHUENCHE,12,8,14,1,550.0,0,1,1991,2100,25,1,0,12,25,0,10,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.168255,3,0,0,0,1,0
COLBUN,13,8,14,1,457.0,0,1,1985,2100,25,1,0,12,25,0,10,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.177746,3,0,0,0,1,0
CHIBURGO,14,8,14,1,19.4,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
SAN_CLEMENTE,15,8,14,1,5.5,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.018182,0,0,0,0,1,0
MACHICURA,16,8,14,1,90.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.072165,0,0,0,0,1,0
SAN_IGNACIO,17,8,14,1,36.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.027027,0,0,0,0,1,0
ELTORO,18,8,14,1,450.0,0,1,1973,2100,25,1,0,12,25,0,10,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.183089,3,0,0,0,1,0
ABANICO,19,8,14,1,136.0,0,1,2000,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
ANTUCO,20,8,14,1,320.0,0,1,1981,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.0,0,0,0,0,1,0
RUCUE,21,8,14,1,178.4,0,1,1998,2100,25,1,0,13,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,0,0.052691,0,0,0,0,1,0
