ID_flujo_1,ID_flujo_2,Relacion
2,10,1
2,12,1
2,23,1
2,25,1
2,27,1
2,29,1
3,37,1
3,39,1
3,41,1
4,43,1
5,6,1
7,14,1
7,31,1
7,20,1
7,34,1
7,17,1
5,8,1
9,15,1
9,32,1
9,21,1
9,35,1
9,18,1
46,54,1
46,56,1
47,67,1
47,69,1
48,71,1
49,50,1
51,58,1
51,64,1
51,61,1
49,52,1
53,59,1
53,62,1
53,65,1
74,82,1
74,84,1
74,88,1
74,90,1
74,92,1
74,94,1
74,86,1
74,117,1
75,96,1
75,98,1
76,100,1
77,78,1
79,102,1
79,105,1
79,108,1
79,111,1
79,114,1
79,119,1
77,80,1
81,103,1
81,106,1
81,109,1
81,112,1
81,115,1
81,120,1
123,131,1
123,133,1
123,135,1
123,137,1
123,139,1
123,141,1
123,143,1
123,166,1
124,145,1
124,147,1
125,149,1
126,127,1
128,151,1
128,154,1
128,157,1
128,160,1
128,163,1
128,168,1
126,129,1
130,152,1
130,155,1
130,158,1
130,161,1
130,164,1
130,169,1
172,180,1
172,182,1
172,184,1
173,186,1
173,188,1
174,190,1
175,176,1
177,192,1
177,195,1
177,198,1
177,201,1
175,178,1
179,193,1
179,196,1
179,199,1
179,202,1
205,208,1
205,210,1
205,212,1
205,214,1
205,216,1
205,218,1
205,220,1
205,222,1
206,226,1
206,228,1
206,230,1
207,224,1
233,236,1
233,238,1
234,240,1
235,242,1
235,244,1
247,250,1
247,252,1
248,256,1
248,258,1
248,260,1
249,254,1
263,266,1
264,270,1
264,272,1
264,274,1
265,268,1
277,285,1
277,301,1
277,303,1
277,305,1
277,307,1
277,296,1
278,311,1
278,313,1
278,315,1
279,309,1
280,281,1
282,287,1
282,290,1
282,293,1
282,298,1
280,283,1
284,288,1
284,291,1
284,294,1
284,299,1
318,326,1
318,328,1
318,330,1
318,332,1
318,334,1
318,342,1
319,346,1
319,348,1
319,350,1
320,344,1
321,322,1
323,352,1
323,355,1
323,336,1
323,339,1
321,324,1
325,337,1
325,340,1
325,353,1
325,356,1
359,367,1
359,369,1
359,371,1
360,377,1
360,379,1
360,375,1
361,373,1
362,363,1
364,381,1
364,384,1
362,365,1
366,382,1
366,385,1
388,396,1
388,398,1
388,400,1
388,402,1
388,404,1
389,408,1
389,410,1
389,412,1
390,406,1
391,392,1
393,414,1
391,394,1
395,415,1
418,426,1
418,428,1
419,432,1
419,434,1
419,436,1
420,430,1
421,422,1
423,438,1
421,424,1
425,439,1
445,446,1
447,450,1
447,455,1
447,458,1
445,448,1
449,456,1
449,459,1
449,451,1
442,453,1
442,461,1
443,465,1
443,467,1
444,463,1
470,481,1
471,487,1
471,485,1
472,483,1
473,474,1
475,478,1
473,476,1
477,479,1
490,498,1
490,500,1
490,502,1
490,504,1
490,506,1
490,539,1
492,508,1
491,510,1
491,512,1
491,514,1
491,516,1
493,494,1
495,518,1
495,521,1
495,524,1
495,527,1
495,530,1
495,533,1
495,541,1
495,536,1
493,496,1
497,519,1
