Proceso,Agno,Retiro
TRANS_VEH_GASOLINA_PRE1996e,2017,64044
TRANS_VEH_GASOLINA_PRE1996d,2018,64044
TRANS_VEH_GASOLINA_PRE1996c,2019,64044
TRANS_VEH_GASOLINA_PRE1996b,2020,64044
TRANS_VEH_GASOLINA_PRE1996a,2021,64044
TRANS_VEH_GASOLINA_1997,2022,73679
TRANS_VEH_GASOLINA_1998,2023,82181
TRANS_VEH_GASOLINA_1999,2024,53843
TRANS_VEH_GASOLINA_2000,2025,62344
TRANS_VEH_GASOLINA_2001,2026,59510
TRANS_VEH_GASOLINA_2002,2027,59510
TRANS_VEH_GASOLINA_2003,2028,68012
TRANS_VEH_GASOLINA_2004,2029,82181
TRANS_VEH_GASOLINA_2005,2030,104851
TRANS_VEH_GASOLINA_2006,2031,116187
TRANS_VEH_GASOLINA_2007,2032,124688
TRANS_VEH_GASOLINA_2008,2033,150193
TRANS_VEH_GASOLINA_2009,2034,107685
TRANS_VEH_GASOLINA_2010,2035,144525
TRANS_VEH_GASOLINA_2011,2036,198368
TRANS_VEH_GASOLINA_2012,2037,204035
TRANS_VEH_GASOLINA_2013,2038,232373
TRANS_VEH_GASOLINA_2014,2039,226706
TRANS_VEH_GASOLINA_2015,2040,181365
TRANS_VEH_GASOLINA_2016,2041,202991
TRANS_VEH_GASOLINA_2017,2042,228721
TRANS_VEH_GASOLINA_2018,2043,284348
TRANS_VEH_GASOLINA_NUEVO_2020,2044,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2045,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2046,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2047,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2048,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2049,50000
TRANS_VEH_GASOLINA_NUEVO_2020,2050,50000
TRANS_VEH_DIESEL_PRE1996e,2017,5275
TRANS_VEH_DIESEL_PRE1996d,2018,5275
TRANS_VEH_DIESEL_PRE1996c,2019,5275
TRANS_VEH_DIESEL_PRE1996b,2020,5275
TRANS_VEH_DIESEL_PRE1996a,2021,5275
TRANS_VEH_DIESEL_1997,2022,6068
TRANS_VEH_DIESEL_1998,2023,6768
TRANS_VEH_DIESEL_1999,2024,4434
TRANS_VEH_DIESEL_2000,2025,5135
TRANS_VEH_DIESEL_2001,2026,4901
TRANS_VEH_DIESEL_2002,2027,4901
TRANS_VEH_DIESEL_2003,2028,5601
TRANS_VEH_DIESEL_2004,2029,6768
TRANS_VEH_DIESEL_2005,2030,8636
TRANS_VEH_DIESEL_2006,2031,9569
TRANS_VEH_DIESEL_2007,2032,10269
TRANS_VEH_DIESEL_2008,2033,12370
TRANS_VEH_DIESEL_2009,2034,8869
TRANS_VEH_DIESEL_2010,2035,11903
TRANS_VEH_DIESEL_2011,2036,16338
TRANS_VEH_DIESEL_2012,2037,16804
TRANS_VEH_DIESEL_2013,2038,19138
TRANS_VEH_DIESEL_2014,2039,18671
TRANS_VEH_DIESEL_2015,2040,14937
TRANS_VEH_DIESEL_2016,2041,22752
