ID_flujo,Gas,Factor_emision
11,CO2,395806.4
55,CO2,395806.4
11,CH4,4.184
55,CH4,4.184
11,N2O,6.276
55,N2O,6.276
89,CO2,395806.4
138,CO2,395806.4
89,CH4,4.184
138,CH4,4.184
89,N2O,6.276
138,N2O,6.276
213,CO2,395806.4
213,CH4,4.184
213,N2O,6.276
251,CO2,395806.4
267,CO2,395806.4
251,CH4,4.184
267,CH4,4.184
251,N2O,6.276
267,N2O,6.276
289,CO2,395806.4
289,CH4,4.184
289,N2O,6.276
507,CO2,395806.4
535,CO2,395806.4
507,CH4,4.184
535,CH4,4.184
507,N2O,6.276
535,N2O,6.276
689,CO2,395806.4
743,CO2,395806.4
689,CH4,4.184
743,CH4,4.184
689,N2O,6.276
743,N2O,6.276
782,CO2,395806.4
865,CO2,395806.4
892,CO2,395806.4
782,CH4,4.184
865,CH4,4.184
892,CH4,4.184
782,N2O,6.276
865,N2O,6.276
892,N2O,6.276
13,CO2,234722.4
30,CO2,234722.4
33,CO2,234722.4
57,CO2,234722.4
13,CH4,4.184
30,CH4,4.184
33,CH4,4.184
57,CH4,4.184
13,N2O,0.418
30,N2O,0.418
33,N2O,0.418
57,N2O,0.418
87,CO2,234722.4
118,CO2,234722.4
121,CO2,234722.4
136,CO2,234722.4
159,CO2,234722.4
167,CO2,234722.4
170,CO2,234722.4
183,CO2,234722.4
197,CO2,234722.4
87,CH4,4.184
118,CH4,4.184
121,CH4,4.184
136,CH4,4.184
159,CH4,4.184
167,CH4,4.184
170,CH4,4.184
183,CH4,4.184
197,CH4,4.184
87,N2O,0.418
118,N2O,0.418
121,N2O,0.418
136,N2O,0.418
159,N2O,0.418
167,N2O,0.418
170,N2O,0.418
183,N2O,0.418
197,N2O,0.418
211,CO2,234722.4
223,CO2,234722.4
239,CO2,234722.4
211,CH4,4.184
223,CH4,4.184
239,CH4,4.184
211,N2O,0.418
223,N2O,0.418
239,N2O,0.418
253,CO2,234722.4
253,CH4,4.184
253,N2O,0.418
286,CO2,234722.4
295,CO2,234722.4
297,CO2,234722.4
327,CO2,234722.4
338,CO2,234722.4
343,CO2,234722.4
286,CH4,4.184
295,CH4,4.184
297,CH4,4.184
327,CH4,4.184
338,CH4,4.184
343,CH4,4.184
286,N2O,0.418
295,N2O,0.418
297,N2O,0.418
327,N2O,0.418
338,N2O,0.418
343,N2O,0.418
403,CO2,234722.4
405,CO2,234722.4
429,CO2,234722.4
403,CH4,4.184
405,CH4,4.184
429,CH4,4.184
403,N2O,0.418
405,N2O,0.418
429,N2O,0.418
452,CO2,234722.4
457,CO2,234722.4
462,CO2,234722.4
480,CO2,234722.4
452,CH4,4.184
457,CH4,4.184
462,CH4,4.184
480,CH4,4.184
452,N2O,0.418
457,N2O,0.418
462,N2O,0.418
480,N2O,0.418
505,CO2,234722.4
526,CO2,234722.4
540,CO2,234722.4
543,CO2,234722.4
560,CO2,234722.4
576,CO2,234722.4
505,CH4,4.184
526,CH4,4.184
540,CH4,4.184
543,CH4,4.184
560,CH4,4.184
576,CH4,4.184
505,N2O,0.418
526,N2O,0.418
540,N2O,0.418
543,N2O,0.418
560,N2O,0.418
576,N2O,0.418
624,CO2,234722.4
632,CO2,234722.4
635,CO2,234722.4
680,CO2,234722.4
694,CO2,234722.4
697,CO2,234722.4
734,CO2,234722.4
624,CH4,4.184
632,CH4,4.184
635,CH4,4.184
680,CH4,4.184
694,CH4,4.184
697,CH4,4.184
734,CH4,4.184
624,N2O,0.418
632,N2O,0.418
635,N2O,0.418
680,N2O,0.418
694,N2O,0.418
697,N2O,0.418
734,N2O,0.418
755,CO2,234722.4
769,CO2,234722.4
788,CO2,234722.4
800,CO2,234722.4
815,CO2,234722.4
829,CO2,234722.4
845,CO2,234722.4
863,CO2,234722.4
898,CO2,234722.4
755,CH4,4.184
769,CH4,4.184
788,CH4,4.184
800,CH4,4.184
815,CH4,4.184
829,CH4,4.184
845,CH4,4.184
863,CH4,4.184
898,CH4,4.184
755,N2O,0.418
769,N2O,0.418
788,N2O,0.418
800,N2O,0.418
815,N2O,0.418
829,N2O,0.418
845,N2O,0.418
863,N2O,0.418
898,N2O,0.418
919,CO2,234722.4
919,CH4,4.184
919,N2O,0.418
941,CO2,234722.4
951,CO2,234722.4
957,CO2,234722.4
973,CO2,234722.4
981,CO2,234722.4
987,CO2,234722.4
1003,CO2,234722.4
1011,CO2,234722.4
1017,CO2,234722.4
1033,CO2,234722.4
1041,CO2,234722.4
1047,CO2,234722.4
1063,CO2,234722.4
1071,CO2,234722.4
1077,CO2,234722.4
1093,CO2,234722.4
1103,CO2,234722.4
1109,CO2,234722.4
1134,CO2,234722.4
1144,CO2,234722.4
1150,CO2,234722.4
1166,CO2,234722.4
1176,CO2,234722.4
1182,CO2,234722.4
1198,CO2,234722.4
1208,CO2,234722.4
1214,CO2,234722.4
1226,CO2,234722.4
1236,CO2,234722.4
1242,CO2,234722.4
1254,CO2,234722.4
1262,CO2,234722.4
1268,CO2,234722.4
1278,CO2,234722.4
1288,CO2,234722.4
1294,CO2,234722.4
1306,CO2,234722.4
1316,CO2,234722.4
1322,CO2,234722.4
1334,CO2,234722.4
1344,CO2,234722.4
1350,CO2,234722.4
1362,CO2,234722.4
1372,CO2,234722.4
1378,CO2,234722.4
941,CH4,4.184
951,CH4,4.184
957,CH4,4.184
973,CH4,4.184
981,CH4,4.184
987,CH4,4.184
1003,CH4,4.184
1011,CH4,4.184
1017,CH4,4.184
1033,CH4,4.184
1041,CH4,4.184
1047,CH4,4.184
1063,CH4,4.184
1071,CH4,4.184
1077,CH4,4.184
1093,CH4,4.184
1103,CH4,4.184
1109,CH4,4.184
1134,CH4,4.184
1144,CH4,4.184
1150,CH4,4.184
1166,CH4,4.184
1176,CH4,4.184
1182,CH4,4.184
1198,CH4,4.184
1208,CH4,4.184
1214,CH4,4.184
1226,CH4,4.184
1236,CH4,4.184
1242,CH4,4.184
1254,CH4,4.184
1262,CH4,4.184
1268,CH4,4.184
1278,CH4,4.184
1288,CH4,4.184
1294,CH4,4.184
1306,CH4,4.184
1316,CH4,4.184
1322,CH4,4.184
1334,CH4,4.184
1344,CH4,4.184
1350,CH4,4.184
1362,CH4,4.184
1372,CH4,4.184
1378,CH4,4.184
941,N2O,0.418
951,N2O,0.418
957,N2O,0.418
973,N2O,0.418
981,N2O,0.418
987,N2O,0.418
1003,N2O,0.418
1011,N2O,0.418
1017,N2O,0.418
1033,N2O,0.418
1041,N2O,0.418
1047,N2O,0.418
1063,N2O,0.418
1071,N2O,0.418
1077,N2O,0.418
1093,N2O,0.418
1103,N2O,0.418
1109,N2O,0.418
1134,N2O,0.418
1144,N2O,0.418
1150,N2O,0.418
1166,N2O,0.418
1176,N2O,0.418
1182,N2O,0.418
1198,N2O,0.418
1208,N2O,0.418
1214,N2O,0.418
1226,N2O,0.418
1236,N2O,0.418
1242,N2O,0.418
1254,N2O,0.418
