barra,agno,etapa,bloque,dem,cmg,perdidas
SING                          ,2017        ,1           ,1           ,     2196.85,       62.12,       18.92
SING                          ,2017        ,1           ,2           ,     2194.43,       62.12,       24.19
SING                          ,2017        ,1           ,3           ,     2221.92,       40.20,        4.50
SING                          ,2017        ,1           ,4           ,     2329.76,       62.12,       21.69
SING                          ,2017        ,1           ,5           ,     2292.79,       62.12,       18.86
SING                          ,2017        ,2           ,1           ,     2497.57,       46.16,       12.23
SING                          ,2017        ,2           ,2           ,     2514.32,       46.16,       15.76
SING                          ,2017        ,2           ,3           ,     2524.28,       39.72,        0.00
SING                          ,2017        ,2           ,4           ,     2651.37,       46.16,       11.82
SING                          ,2017        ,2           ,5           ,     2639.11,       46.16,       10.45
SING                          ,2017        ,3           ,1           ,     2203.95,       47.39,       13.81
SING                          ,2017        ,3           ,2           ,     2231.14,       47.39,       16.33
SING                          ,2017        ,3           ,3           ,     2229.44,       47.39,       27.34
SING                          ,2017        ,3           ,4           ,     2345.08,       47.39,       14.57
SING                          ,2017        ,3           ,5           ,     2362.88,       47.39,       12.57
SING                          ,2017        ,4           ,1           ,     2345.01,       47.39,        9.84
SING                          ,2017        ,4           ,2           ,     2366.08,       47.39,       14.42
SING                          ,2017        ,4           ,3           ,     2368.84,       47.39,       23.63
SING                          ,2017        ,4           ,4           ,     2546.07,       47.39,       11.54
SING                          ,2017        ,4           ,5           ,     2474.12,       47.39,        9.80
SING                          ,2017        ,5           ,1           ,     2174.36,       46.16,        6.73
SING                          ,2017        ,5           ,2           ,     2181.16,       43.91,        3.30
SING                          ,2017        ,5           ,3           ,     2176.25,       39.90,        4.52
SING                          ,2017        ,5           ,4           ,     2318.90,       43.91,        4.08
SING                          ,2017        ,5           ,5           ,     2272.72,       48.53,        6.86
SING                          ,2017        ,6           ,1           ,     2156.70,       41.77,        6.38
SING                          ,2017        ,6           ,2           ,     2155.47,       41.79,        3.91
SING                          ,2017        ,6           ,3           ,     2163.88,       39.75,        7.89
SING                          ,2017        ,6           ,4           ,     2334.82,       41.80,        4.44
SING                          ,2017        ,6           ,5           ,     2272.58,       41.77,        5.95
SING                          ,2017        ,7           ,1           ,     2148.50,       41.67,        5.28
SING                          ,2017        ,7           ,2           ,     2139.96,       41.67,        2.94
SING                          ,2017        ,7           ,3           ,     2184.47,       41.67,       12.08
SING                          ,2017        ,7           ,4           ,     2322.91,       41.67,        2.74
SING                          ,2017        ,7           ,5           ,     2368.57,       41.67,        3.84
SING                          ,2017        ,8           ,1           ,     2094.17,       41.67,        5.45
SING                          ,2017        ,8           ,2           ,     2109.76,       40.24,        3.04
SING                          ,2017        ,8           ,3           ,     2105.70,       39.72,        8.48
SING                          ,2017        ,8           ,4           ,     2264.00,       40.24,        3.54
SING                          ,2017        ,8           ,5           ,     2269.63,       41.67,        4.65
SING                          ,2017        ,9           ,1           ,     2223.34,       41.67,        5.53
SING                          ,2017        ,9           ,2           ,     2241.11,       40.20,        5.86
SING                          ,2017        ,9           ,3           ,     2243.86,       39.75,        9.28
SING                          ,2017        ,9           ,4           ,     2400.67,       40.24,        3.89
SING                          ,2017        ,9           ,5           ,     2402.72,       41.67,        4.59
SING                          ,2017        ,10          ,1           ,     2316.06,       68.66,        1.05
SING                          ,2017        ,10          ,2           ,     2354.28,       68.66,        0.54
SING                          ,2017        ,10          ,3           ,     2350.65,       62.12,        7.29
SING                          ,2017        ,10          ,4           ,     2547.29,       68.66,        2.00
SING                          ,2017        ,10          ,5           ,     2454.76,       68.66,        0.87
SING                          ,2017        ,11          ,1           ,     2166.77,       53.32,       15.63
SING                          ,2017        ,11          ,2           ,     2197.70,       52.71,       21.95
SING                          ,2017        ,11          ,3           ,     2236.22,       53.32,       25.12
SING                          ,2017        ,11          ,4           ,     2347.02,       53.32,       16.48
SING                          ,2017        ,11          ,5           ,     2353.44,       53.32,       15.24
SING                          ,2017        ,12          ,1           ,     2312.49,       62.12,       14.98
SING                          ,2017        ,12          ,2           ,     2339.38,       59.34,       21.70
SING                          ,2017        ,12          ,3           ,     2388.13,       53.03,       30.00
SING                          ,2017        ,12          ,4           ,     2551.76,       62.12,       18.51
SING                          ,2017        ,12          ,5           ,     2488.04,       62.12,       16.88
SING                          ,2018        ,1           ,1           ,     2281.43,       53.32,       17.69
SING                          ,2018        ,1           ,2           ,     2287.34,       52.71,       21.75
SING                          ,2018        ,1           ,3           ,     2301.85,       40.24,        8.43
SING                          ,2018        ,1           ,4           ,     2422.13,       62.12,       20.48
SING                          ,2018        ,1           ,5           ,     2384.09,       62.12,       17.60
SING                          ,2018        ,2           ,1           ,     2596.72,       52.71,       16.30
SING                          ,2018        ,2           ,2           ,     2614.21,       52.71,       19.16
SING                          ,2018        ,2           ,3           ,     2624.66,       39.90,        2.29
SING                          ,2018        ,2           ,4           ,     2756.49,       52.71,       16.56
SING                          ,2018        ,2           ,5           ,     2744.13,       52.71,       15.19
SING                          ,2018        ,3           ,1           ,     2291.76,       62.12,       19.22
SING                          ,2018        ,3           ,2           ,     2317.07,       62.12,       23.11
SING                          ,2018        ,3           ,3           ,     2302.34,       52.71,       30.00
SING                          ,2018        ,3           ,4           ,     2438.16,       62.12,       21.37
SING                          ,2018        ,3           ,5           ,     2457.13,       62.12,       19.34
SING                          ,2018        ,4           ,1           ,     2437.25,       53.03,       15.01
SING                          ,2018        ,4           ,2           ,     2463.10,       53.03,       21.18
SING                          ,2018        ,4           ,3           ,     2461.68,       53.03,       28.32
SING                          ,2018        ,4           ,4           ,     2647.05,       53.03,       16.89
SING                          ,2018        ,4           ,5           ,     2572.72,       53.03,       15.12
SING                          ,2018        ,5           ,1           ,     2261.39,       42.89,        3.57
SING                          ,2018        ,5           ,2           ,     2258.43,       42.89,        0.92
SING                          ,2018        ,5           ,3           ,     2274.44,       42.89,        4.53
SING                          ,2018        ,5           ,4           ,     2410.85,       42.89,        0.00
SING                          ,2018        ,5           ,5           ,     2363.23,       42.89,        0.98
SING                          ,2018        ,6           ,1           ,     2242.20,       48.53,        7.78
SING                          ,2018        ,6           ,2           ,     2243.99,       43.91,        5.31
SING                          ,2018        ,6           ,3           ,     2245.46,       40.20,        3.21
SING                          ,2018        ,6           ,4           ,     2427.48,       48.53,        5.78
SING                          ,2018        ,6           ,5           ,     2363.11,       46.17,        7.31
SING                          ,2018        ,7           ,1           ,     2233.73,       41.77,        6.66
SING                          ,2018        ,7           ,2           ,     2221.84,       43.91,        4.32
SING                          ,2018        ,7           ,3           ,     2264.32,       41.77,        7.98
SING                          ,2018        ,7           ,4           ,     2415.02,       43.91,        4.04
SING                          ,2018        ,7           ,5           ,     2463.01,       43.92,        5.14
SING                          ,2018        ,8           ,1           ,     2177.37,       41.77,        6.83
SING                          ,2018        ,8           ,2           ,     2193.55,       41.67,        3.95
SING                          ,2018        ,8           ,3           ,     2189.33,       39.75,        7.87
SING                          ,2018        ,8           ,4           ,     2353.76,       41.67,        4.45
SING                          ,2018        ,8           ,5           ,     2360.02,       41.80,        5.97
SING                          ,2018        ,9           ,1           ,     2310.92,       41.79,        6.91
SING                          ,2018        ,9           ,2           ,     2332.76,       40.20,        5.32
SING                          ,2018        ,9           ,3           ,     2348.08,       39.72,        8.22
SING                          ,2018        ,9           ,4           ,     2495.77,       41.67,        4.32
SING                          ,2018        ,9           ,5           ,     2498.54,       41.80,        5.92
SING                          ,2018        ,10          ,1           ,     2407.32,       45.57,        5.24
SING                          ,2018        ,10          ,2           ,     2441.73,       42.89,        4.02
SING                          ,2018        ,10          ,3           ,     2454.07,       42.89,       12.91
SING                          ,2018        ,10          ,4           ,     2648.39,       47.40,        6.39
SING                          ,2018        ,10          ,5           ,     2552.59,       46.16,        7.16
SING                          ,2018        ,11          ,1           ,     2252.69,       54.71,       14.27
SING                          ,2018        ,11          ,2           ,     2285.03,       54.71,       23.05
SING                          ,2018        ,11          ,3           ,     2325.21,       54.71,       29.68
SING                          ,2018        ,11          ,4           ,     2439.93,       54.71,       15.11
SING                          ,2018        ,11          ,5           ,     2447.29,       54.71,       13.87
SING                          ,2018        ,12          ,1           ,     2398.32,       62.12,       21.43
SING                          ,2018        ,12          ,2           ,     2435.98,       62.12,       20.32
SING                          ,2018        ,12          ,3           ,     2476.29,       62.12,       29.16
SING                          ,2018        ,12          ,4           ,     2652.92,       62.12,       25.01
SING                          ,2018        ,12          ,5           ,     2587.18,       62.12,       23.37
SING                          ,2019        ,1           ,1           ,     2421.27,       43.61,        0.00
SING                          ,2019        ,1           ,2           ,     2417.64,       44.77,        3.53
SING                          ,2019        ,1           ,3           ,     2447.28,       38.99,        0.00
SING                          ,2019        ,1           ,4           ,     2566.52,       41.60,        0.00
SING                          ,2019        ,1           ,5           ,     2528.25,       43.61,        0.00
SING                          ,2019        ,2           ,1           ,     2752.07,       54.57,        9.95
SING                          ,2019        ,2           ,2           ,     2770.91,       54.57,       14.35
SING                          ,2019        ,2           ,3           ,     2782.50,       38.99,        4.25
SING                          ,2019        ,2           ,4           ,     2920.72,       54.57,       11.67
