barra,agno,etapa,bloque,potencia,energia
SING        ,2017        ,1           ,1           ,     1729.02,   375196.99
SING        ,2017        ,1           ,2           ,     1715.81,   159570.38
SING        ,2017        ,1           ,3           ,     1680.51,   520958.49
SING        ,2017        ,1           ,4           ,     1728.62,   107174.63
SING        ,2017        ,1           ,5           ,     1794.72,   111272.83
SING        ,2017        ,2           ,1           ,     1666.48,   326629.30
SING        ,2017        ,2           ,2           ,     1641.99,   137926.97
SING        ,2017        ,2           ,3           ,     1622.42,   454276.80
SING        ,2017        ,2           ,4           ,     1704.37,    95444.72
SING        ,2017        ,2           ,5           ,     1718.20,    96219.03
SING        ,2017        ,3           ,1           ,     1675.11,   363499.02
SING        ,2017        ,3           ,2           ,     1671.95,   155490.92
SING        ,2017        ,3           ,3           ,     1642.98,   509325.17
SING        ,2017        ,3           ,4           ,     1660.79,   102969.03
SING        ,2017        ,3           ,5           ,     1709.60,   105995.49
SING        ,2017        ,4           ,1           ,     1837.07,   385785.47
SING        ,2017        ,4           ,2           ,     1756.68,   158101.39
SING        ,2017        ,4           ,3           ,     1763.38,   529014.52
SING        ,2017        ,4           ,4           ,     1750.81,   105048.45
SING        ,2017        ,4           ,5           ,     1795.03,   107701.95
SING        ,2017        ,5           ,1           ,     1843.31,   401842.39
SING        ,2017        ,5           ,2           ,     1864.02,   173353.69
SING        ,2017        ,5           ,3           ,     1795.53,   556613.15
SING        ,2017        ,5           ,4           ,     1775.97,   110110.15
SING        ,2017        ,5           ,5           ,     1846.55,   114485.84
SING        ,2017        ,6           ,1           ,     1837.14,   385798.80
SING        ,2017        ,6           ,2           ,     1850.24,   166521.99
SING        ,2017        ,6           ,3           ,     1805.18,   541552.72
SING        ,2017        ,6           ,4           ,     1767.88,   106072.79
SING        ,2017        ,6           ,5           ,     1805.14,   108308.14
SING        ,2017        ,7           ,1           ,     1805.13,   391713.67
SING        ,2017        ,7           ,2           ,     1828.28,   170029.77
SING        ,2017        ,7           ,3           ,     1779.44,   551627.03
SING        ,2017        ,7           ,4           ,     1723.12,   106833.29
SING        ,2017        ,7           ,5           ,     1734.87,   107561.66
SING        ,2017        ,8           ,1           ,     1821.15,   393367.92
SING        ,2017        ,8           ,2           ,     1847.95,   171859.20
SING        ,2017        ,8           ,3           ,     1803.22,   558997.95
SING        ,2017        ,8           ,4           ,     1740.12,   107887.32
SING        ,2017        ,8           ,5           ,     1772.76,   109911.24
SING        ,2017        ,9           ,1           ,     1818.96,   381980.99
SING        ,2017        ,9           ,2           ,     1842.68,   165840.83
SING        ,2017        ,9           ,3           ,     1804.35,   541305.43
SING        ,2017        ,9           ,4           ,     1755.74,   105344.56
SING        ,2017        ,9           ,5           ,     1784.72,   107083.22
SING        ,2017        ,10          ,1           ,     1821.82,   395335.47
SING        ,2017        ,10          ,2           ,     1846.37,   171712.16
SING        ,2017        ,10          ,3           ,     1800.56,   558173.23
SING        ,2017        ,10          ,4           ,     1843.84,   114317.93
SING        ,2017        ,10          ,5           ,     1861.61,   115419.70
SING        ,2017        ,11          ,1           ,     1881.25,   395061.99
SING        ,2017        ,11          ,2           ,     1823.82,   164144.02
SING        ,2017        ,11          ,3           ,     1833.32,   549995.14
SING        ,2017        ,11          ,4           ,     1918.39,   115103.51
SING        ,2017        ,11          ,5           ,     1935.20,   116112.08
SING        ,2017        ,12          ,1           ,     1893.90,   410976.12
SING        ,2017        ,12          ,2           ,     1898.68,   176577.33
SING        ,2017        ,12          ,3           ,     1818.43,   563713.98
SING        ,2017        ,12          ,4           ,     1848.46,   114604.26
SING        ,2017        ,12          ,5           ,     1866.90,   115747.78
SING        ,2018        ,1           ,1           ,     1779.24,   386094.22
SING        ,2018        ,1           ,2           ,     1765.65,   164205.63
SING        ,2018        ,1           ,3           ,     1728.99,   535985.38
SING        ,2018        ,1           ,4           ,     1778.31,   110255.09
SING        ,2018        ,1           ,5           ,     1846.22,   114465.51
SING        ,2018        ,2           ,1           ,     1715.00,   336139.76
SING        ,2018        ,2           ,2           ,     1689.71,   141935.24
SING        ,2018        ,2           ,3           ,     1669.25,   467390.10
SING        ,2018        ,2           ,4           ,     1753.49,    98195.34
SING        ,2018        ,2           ,5           ,     1767.22,    98964.21
SING        ,2018        ,3           ,1           ,     1726.25,   374597.21
SING        ,2018        ,3           ,2           ,     1722.86,   160226.00
SING        ,2018        ,3           ,3           ,     1693.10,   524860.86
SING        ,2018        ,3           ,4           ,     1711.06,   106085.55
SING        ,2018        ,3           ,5           ,     1760.91,   109176.42
SING        ,2018        ,4           ,1           ,     1891.50,   397215.58
SING        ,2018        ,4           ,2           ,     1808.55,   162769.65
SING        ,2018        ,4           ,3           ,     1815.63,   544689.63
SING        ,2018        ,4           ,4           ,     1802.50,   108149.96
SING        ,2018        ,4           ,5           ,     1847.70,   110862.12
SING        ,2018        ,5           ,1           ,     1897.74,   413707.80
SING        ,2018        ,5           ,2           ,     1918.87,   178454.65
SING        ,2018        ,5           ,3           ,     1848.45,   573018.91
SING        ,2018        ,5           ,4           ,     1828.21,   113349.31
SING        ,2018        ,5           ,5           ,     1900.58,   117835.84
SING        ,2018        ,6           ,1           ,     1891.65,   397247.31
