agno,producto,demanda
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
