agno,emisiones_otros_sec,emisiones_gen,costo_inversion,costo_inversion_tx,coma,coma_tx,costo_operacion_otros_sec,costo_operacion_generacion
2017        ,       53.64,       35.79,        0.00,        0.00,        0.00,        0.00,    22680.20,     1047.61
2018        ,       55.56,       38.18,    47282.31,        0.00,    12779.23,        0.00,    23478.29,     1144.51
2019        ,       56.76,       39.62,    32026.43,        0.00,     8838.63,        0.00,    24478.96,     1130.09
2020        ,       58.16,       42.43,    29163.22,        0.00,     8432.52,        0.00,    25995.13,     1142.83
2021        ,       59.38,       36.88,    27768.81,        0.00,     8025.15,        0.00,    27068.92,      962.37
2022        ,       60.77,       40.26,    27344.77,        0.00,     7954.43,        0.00,    28208.83,     1095.48
2023        ,       62.13,       41.88,    28290.40,        0.00,     8242.36,        0.00,    29128.93,     1160.36
2024        ,       63.39,       39.24,    28669.55,        0.00,     8367.29,        0.00,    29999.69,     1037.31
2025        ,       63.17,       36.60,    28034.66,        0.00,     7699.53,        0.00,    30735.66,      982.63
2026        ,       64.16,       34.07,    25677.88,        0.00,     7590.68,        0.00,    31653.00,      939.19
2027        ,       65.30,       33.57,    24269.41,        0.00,     7088.15,        0.00,    32498.14,      942.19
2028        ,       66.41,       33.77,    22548.04,        0.00,     6561.42,        0.00,    33186.88,      985.36
2029        ,       67.63,       33.27,    23929.03,        0.00,     7009.36,        0.00,    34087.63,      976.03
2030        ,       68.87,       32.86,    24544.13,        0.00,     7090.51,        0.00,    35166.58,      970.79
2031        ,       69.99,       32.06,    26033.87,        0.00,     7701.32,        0.00,    36226.84,      949.24
2032        ,       70.79,       31.46,    29555.20,        0.00,     5702.91,        0.00,    37239.25,      943.42
2033        ,       71.61,       30.45,    29495.16,        0.00,     5596.79,        0.00,    37704.49,      921.27
2034        ,       72.03,       29.65,    31763.62,        0.00,     5704.30,        0.00,    38361.99,      912.44
2035        ,       72.85,       29.04,    24895.82,        0.00,     4711.12,        0.00,    39045.23,      901.92
2036        ,       73.32,       27.94,    26985.27,        0.00,     5019.28,        0.00,    40081.84,      883.48
2037        ,       73.75,       27.54,    29081.20,        1.40,     5359.80,        0.30,    40549.22,      883.19
2038        ,       74.07,       26.53,    28324.58,        5.25,     5193.78,        0.90,    41071.27,      859.76
2039        ,       74.36,       25.93,    27949.99,       17.21,     5158.03,        2.70,    41667.38,      833.52
2040        ,       74.19,       24.62,    27426.37,       21.40,     4682.72,        3.30,    41948.35,      802.88
2041        ,       74.45,       24.32,    21015.17,       24.06,     3765.04,        3.70,    42399.54,      793.59
2042        ,       74.66,       23.52,    19644.71,       26.72,     3573.16,        4.10,    42876.22,      791.41
2043        ,       75.17,       22.61,    17401.75,       71.38,     3340.59,       10.80,    43584.00,      735.27
2044        ,       76.05,       21.91,     7808.60,       71.38,     1442.38,       10.80,    44548.36,      715.65
2045        ,       76.96,       21.20,     6657.83,       71.38,     1206.74,       10.80,    45576.62,      720.00
2046        ,       77.77,       19.50,     5562.38,      119.83,     1131.90,       18.10,    46706.10,      655.66
2047        ,       78.50,       17.99,     4600.25,      127.41,      834.43,       19.30,    47924.67,      633.03
2048        ,       79.26,       16.48,     3399.67,      207.76,      614.31,       31.40,    49005.75,      547.86
2049        ,       80.14,       15.48,     2313.86,      243.45,      414.44,       36.80,    50296.06,      490.07
2050        ,       80.95,       14.57,     1154.48,      243.45,      206.53,       36.80,    51543.95,      483.10
