central,agno,generacion
LOS_CONDORES                            ,2017        ,   145194.84
LOS_CONDORES                            ,2018        ,   145194.84
LOS_CONDORES                            ,2019        ,   397221.12
LOS_CONDORES                            ,2020        ,   399423.60
LOS_CONDORES                            ,2021        ,   397221.12
LOS_CONDORES                            ,2022        ,   397221.12
LOS_CONDORES                            ,2023        ,   397221.12
LOS_CONDORES                            ,2024        ,   399423.60
LOS_CONDORES                            ,2025        ,   397221.12
LOS_CONDORES                            ,2026        ,   397221.12
LOS_CONDORES                            ,2027        ,   397221.12
LOS_CONDORES                            ,2028        ,   399423.60
LOS_CONDORES                            ,2029        ,   397221.12
LOS_CONDORES                            ,2030        ,   397221.12
LOS_CONDORES                            ,2031        ,   397221.12
LOS_CONDORES                            ,2032        ,   399423.60
LOS_CONDORES                            ,2033        ,   397221.12
LOS_CONDORES                            ,2034        ,   397221.12
LOS_CONDORES                            ,2035        ,   397221.12
LOS_CONDORES                            ,2036        ,   399423.60
LOS_CONDORES                            ,2037        ,   397221.12
LOS_CONDORES                            ,2038        ,   397221.12
LOS_CONDORES                            ,2039        ,   397221.12
LOS_CONDORES                            ,2040        ,   399423.60
LOS_CONDORES                            ,2041        ,   397221.12
LOS_CONDORES                            ,2042        ,   397221.12
LOS_CONDORES                            ,2043        ,   397221.12
LOS_CONDORES                            ,2044        ,   399423.60
LOS_CONDORES                            ,2045        ,   397221.12
LOS_CONDORES                            ,2046        ,   397221.12
LOS_CONDORES                            ,2047        ,   397221.12
LOS_CONDORES                            ,2048        ,   399423.60
LOS_CONDORES                            ,2049        ,   397221.12
LOS_CONDORES                            ,2050        ,   397221.12
LA_MINA                                 ,2017        ,   127927.10
LA_MINA                                 ,2018        ,   127927.10
LA_MINA                                 ,2019        ,   178661.46
LA_MINA                                 ,2020        ,   179030.45
LA_MINA                                 ,2021        ,   178661.46
LA_MINA                                 ,2022        ,   178661.46
LA_MINA                                 ,2023        ,   178661.46
LA_MINA                                 ,2024        ,   179030.45
LA_MINA                                 ,2025        ,   178661.46
LA_MINA                                 ,2026        ,   178661.46
LA_MINA                                 ,2027        ,   178661.46
LA_MINA                                 ,2028        ,   179030.45
LA_MINA                                 ,2029        ,   178661.46
LA_MINA                                 ,2030        ,   178661.46
LA_MINA                                 ,2031        ,   178661.46
LA_MINA                                 ,2032        ,   179030.45
LA_MINA                                 ,2033        ,   178661.46
LA_MINA                                 ,2034        ,   178661.46
LA_MINA                                 ,2035        ,   178661.46
LA_MINA                                 ,2036        ,   179030.45
LA_MINA                                 ,2037        ,   178661.46
LA_MINA                                 ,2038        ,   178661.46
LA_MINA                                 ,2039        ,   178661.46
LA_MINA                                 ,2040        ,   179030.45
LA_MINA                                 ,2041        ,   178661.46
LA_MINA                                 ,2042        ,   178661.46
