GEI,agno,offset
offset_infraestructura_bicicle,2017        ,        0.00
offset_infraestructura_bicicle,2018        ,        0.00
offset_infraestructura_bicicle,2019        ,        0.00
offset_infraestructura_bicicle,2020        ,        0.00
offset_infraestructura_bicicle,2021        ,        0.00
offset_infraestructura_bicicle,2022        ,        0.00
offset_infraestructura_bicicle,2023        ,        0.00
offset_infraestructura_bicicle,2024        ,        0.00
offset_infraestructura_bicicle,2025        ,        0.00
offset_infraestructura_bicicle,2026        ,        0.00
offset_infraestructura_bicicle,2027        ,        0.00
offset_infraestructura_bicicle,2028        ,        0.00
offset_infraestructura_bicicle,2029        ,        0.00
offset_infraestructura_bicicle,2030        ,        0.00
offset_infraestructura_bicicle,2031        ,        0.00
offset_infraestructura_bicicle,2032        ,        0.00
offset_infraestructura_bicicle,2033        ,        0.00
offset_infraestructura_bicicle,2034        ,        0.00
offset_infraestructura_bicicle,2035        ,        0.00
offset_infraestructura_bicicle,2036        ,        0.00
offset_infraestructura_bicicle,2037        ,        0.00
offset_infraestructura_bicicle,2038        ,        0.00
offset_infraestructura_bicicle,2039        ,        0.00
offset_infraestructura_bicicle,2040        ,        0.00
offset_infraestructura_bicicle,2041        ,        0.00
offset_infraestructura_bicicle,2042        ,        0.00
offset_infraestructura_bicicle,2043        ,        0.00
offset_infraestructura_bicicle,2044        ,        0.00
offset_infraestructura_bicicle,2045        ,        0.00
offset_infraestructura_bicicle,2046        ,        0.00
offset_infraestructura_bicicle,2047        ,        0.00
offset_infraestructura_bicicle,2048        ,        0.00
offset_infraestructura_bicicle,2049        ,        0.00
offset_infraestructura_bicicle,2050        ,        0.00
offset_mejora_tech_aereo      ,2017        ,        0.00
offset_mejora_tech_aereo      ,2018        ,        0.00
offset_mejora_tech_aereo      ,2019        ,        0.00
offset_mejora_tech_aereo      ,2020        ,        0.00
offset_mejora_tech_aereo      ,2021        ,        0.00
offset_mejora_tech_aereo      ,2022        ,        0.00
offset_mejora_tech_aereo      ,2023        ,        0.00
offset_mejora_tech_aereo      ,2024        ,        0.00
offset_mejora_tech_aereo      ,2025        ,        0.00
offset_mejora_tech_aereo      ,2026        ,        0.00
offset_mejora_tech_aereo      ,2027        ,        0.00
offset_mejora_tech_aereo      ,2028        ,        0.00
offset_mejora_tech_aereo      ,2029        ,        0.00
offset_mejora_tech_aereo      ,2030        ,        0.00
offset_mejora_tech_aereo      ,2031        ,        0.00
offset_mejora_tech_aereo      ,2032        ,        0.00
offset_mejora_tech_aereo      ,2033        ,        0.00
offset_mejora_tech_aereo      ,2034        ,        0.00
offset_mejora_tech_aereo      ,2035        ,        0.00
offset_mejora_tech_aereo      ,2036        ,        0.00
offset_mejora_tech_aereo      ,2037        ,        0.00
offset_mejora_tech_aereo      ,2038        ,        0.00
offset_mejora_tech_aereo      ,2039        ,        0.00
offset_mejora_tech_aereo      ,2040        ,        0.00
offset_mejora_tech_aereo      ,2041        ,        0.00
offset_mejora_tech_aereo      ,2042        ,        0.00
offset_mejora_tech_aereo      ,2043        ,        0.00
offset_mejora_tech_aereo      ,2044        ,        0.00
offset_mejora_tech_aereo      ,2045        ,        0.00
offset_mejora_tech_aereo      ,2046        ,        0.00
offset_mejora_tech_aereo      ,2047        ,        0.00
offset_mejora_tech_aereo      ,2048        ,        0.00
offset_mejora_tech_aereo      ,2049        ,        0.00
offset_mejora_tech_aereo      ,2050        ,        0.00
offset_infraestructura_trans_p,2017        ,        0.00
offset_infraestructura_trans_p,2018        ,        0.00
offset_infraestructura_trans_p,2019        ,        0.00
offset_infraestructura_trans_p,2020        ,        0.00
offset_infraestructura_trans_p,2021        ,        0.00
offset_infraestructura_trans_p,2022        ,        0.00
