agno,emission,CAPEX,OPEX
2017        ,       34.87,        0.00,      822.33
2018        ,       36.93,        0.00,      887.08
2019        ,       36.37,        0.00,      850.13
2020        ,       39.25,       37.46,     1033.14
2021        ,       32.80,        0.00,      852.41
2022        ,       35.86,      567.43,     1138.61
2023        ,       35.18,     2452.50,     1722.74
2024        ,       31.54,     1251.77,     1276.67
2025        ,       30.51,     1402.90,     1358.71
2026        ,       29.02,      913.51,     1232.99
2027        ,       28.42,      529.79,     1204.02
2028        ,       28.22,     1130.23,     1409.18
2029        ,       25.82,     4015.83,     2157.64
2030        ,       24.20,     2287.23,     1569.12
2031        ,       21.25,     3396.93,     1817.01
2032        ,       21.49,     1325.57,     1172.58
2033        ,       20.61,     1815.10,     1328.02
2034        ,       19.70,     1787.49,     1324.68
2035        ,       19.18,     1709.13,     1249.20
2036        ,       18.94,     1605.51,     1252.44
2037        ,       17.85,     1863.85,     1312.96
2038        ,       16.45,     1875.38,     1287.32
2039        ,       15.26,     1551.20,     1159.18
2040        ,        8.78,     3558.59,     1760.04
2041        ,        4.80,     1483.83,     1205.26
2042        ,        4.96,      744.36,     1023.98
2043        ,        5.00,      796.57,     1050.34
2044        ,        5.08,      638.40,     1023.85
2045        ,        5.27,      560.49,     1030.92
2046        ,        5.33,      561.49,     1048.64
2047        ,        5.48,      417.45,     1029.12
2048        ,        5.17,      547.06,     1045.77
2049        ,        5.23,      287.70,      986.26
2050        ,        5.27,      144.01,      973.55
