Escenario,agno,emission,CAPEX,OPEX
0,2017,34.74,0.0,819.36
0,2018,36.82,0.0,882.93
0,2019,36.14,0.0,845.41
0,2020,38.06,724.94,1224.9
0,2021,31.49,0.0,838.42
0,2022,33.3,1392.75,1309.81
0,2023,34.06,1688.02,1422.55
0,2024,30.99,1155.01,1199.96
0,2025,30.51,1165.42,1246.68
0,2026,29.54,609.02,1134.68
0,2027,29.22,500.14,1207.09
0,2028,29.43,615.11,1266.66
0,2029,27.57,4022.71,2126.02
0,2030,26.38,1931.01,1495.7
0,2031,24.91,2326.22,1592.24
0,2032,24.94,1561.55,1376.36
0,2033,23.55,2082.07,1507.87
0,2034,21.61,2585.95,1632.43
0,2035,21.12,1569.83,1368.01
0,2036,19.87,2537.58,1333.15
0,2037,18.41,2290.35,1260.46
0,2038,16.04,2738.14,1201.36
0,2039,13.77,2481.0,1118.05
0,2040,8.1,3086.05,1240.49
0,2041,4.09,2831.6,897.14
0,2042,3.99,1284.66,725.42
0,2043,3.87,1160.24,696.83
0,2044,3.78,977.84,664.73
0,2045,3.81,839.52,660.67
0,2046,3.86,662.27,651.2
0,2047,3.76,612.86,635.97
0,2048,3.49,541.66,595.05
0,2049,3.53,339.36,575.01
0,2050,3.44,193.38,546.4
1,2017,34.74,0.0,819.36
1,2018,36.82,0.0,882.93
1,2019,36.49,0.0,853.52
1,2020,39.38,11.1,1122.85
1,2021,33.5,0.0,943.57
1,2022,35.3,1434.73,1487.93
1,2023,34.9,2381.72,1803.83
1,2024,31.79,1096.47,1329.34
1,2025,30.86,1378.93,1470.65
1,2026,29.28,987.73,1378.82
1,2027,28.07,1659.95,1611.14
1,2028,28.14,1097.51,1467.4
1,2029,25.84,4388.59,2299.95
1,2030,24.34,2674.77,1739.76
1,2031,22.14,3238.39,1842.97
1,2032,22.19,1682.06,1394.34
1,2033,21.61,2132.07,1481.06
1,2034,20.2,2809.57,1587.71
1,2035,19.81,1887.22,1395.51
1,2036,18.8,2567.73,1555.25
1,2037,18.0,2015.64,1405.04
1,2038,16.9,2026.41,1446.48
1,2039,15.99,1584.07,1359.64
1,2040,9.79,3825.37,1919.73
1,2041,5.62,1951.96,1456.14
1,2042,5.81,1030.66,1224.67
1,2043,5.97,999.34,1247.63
1,2044,6.12,851.62,1228.84
1,2045,6.32,850.46,1252.98
1,2046,6.51,690.36,1237.26
1,2047,6.5,729.87,1230.25
1,2048,6.06,738.22,1203.59
1,2049,6.04,421.51,1120.63
1,2050,6.22,201.74,1101.1
2,2017,34.74,0.0,819.36
2,2018,36.82,0.0,882.93
2,2019,36.49,0.0,853.13
2,2020,39.62,6.37,1009.39
2,2021,33.56,0.0,848.46
2,2022,36.85,399.58,1098.27
2,2023,35.7,3081.38,1898.82
2,2024,32.68,941.43,1201.21
2,2025,31.7,1527.75,1422.65
2,2026,30.31,879.3,1272.93
2,2027,29.7,618.86,1299.18
2,2028,30.54,111.71,1233.51
2,2029,26.65,5621.59,2902.19
2,2030,25.68,1883.11,1573.99
2,2031,21.55,4295.25,2275.56
2,2032,21.4,1667.27,1330.62
2,2033,20.88,1795.36,1378.28
2,2034,19.86,2003.07,1470.67
2,2035,19.21,2070.95,1478.03
2,2036,18.2,1956.97,1415.75
2,2037,17.73,1588.75,1279.53
2,2038,16.26,1983.73,1378.56
2,2039,15.01,1678.1,1271.88
2,2040,9.17,2783.7,1638.78
2,2041,5.31,1835.62,1299.38
2,2042,5.05,1596.23,1039.04
2,2043,5.06,970.74,1052.24
2,2044,5.08,854.54,1000.43
2,2045,5.25,797.4,994.52
2,2046,5.19,777.55,968.92
2,2047,5.23,630.79,931.77
2,2048,4.96,640.5,876.2
2,2049,5.21,330.54,871.59
2,2050,5.41,168.65,886.33
3,2017,34.74,0.0,819.37
3,2018,36.82,0.0,882.98
3,2019,36.17,0.0,846.24
3,2020,39.11,0.0,920.53
3,2021,32.66,0.0,768.01
3,2022,36.04,445.84,1000.4
3,2023,35.88,2293.12,1536.38
3,2024,32.13,1345.12,1202.1
3,2025,31.44,1329.97,1239.77
3,2026,30.19,796.17,1133.88
3,2027,29.42,930.01,1273.77
3,2028,29.57,649.98,1225.1
3,2029,27.74,4037.16,2117.35
3,2030,26.62,2053.69,1493.26
3,2031,24.75,2756.56,1663.6
3,2032,24.65,1506.41,1286.84
3,2033,23.85,2067.21,1460.12
3,2034,21.95,2728.09,1613.96
3,2035,21.05,2087.3,1420.71
3,2036,20.3,1969.64,1380.26
3,2037,19.64,1669.31,1304.91
3,2038,17.93,2106.48,1424.18
3,2039,16.42,1909.54,1283.17
3,2040,9.92,3563.59,1716.73
3,2041,4.97,3038.89,1209.33
3,2042,4.87,1239.87,1003.59
3,2043,4.72,1347.81,927.96
3,2044,4.65,934.92,913.7
3,2045,4.88,718.72,946.05
3,2046,4.9,705.22,945.44
3,2047,4.89,653.19,905.69
3,2048,4.62,636.98,863.97
3,2049,4.86,309.8,884.36
3,2050,5.09,167.16,886.59
4,2017,34.74,0.0,819.36
4,2018,36.82,0.0,882.93
4,2019,35.88,0.0,839.38
4,2020,38.57,0.0,887.78
4,2021,31.72,0.0,733.22
4,2022,35.47,0.0,839.44
4,2023,37.29,561.28,1108.17
4,2024,32.22,1545.68,1374.23
4,2025,30.51,1427.07,1339.31
4,2026,29.43,423.48,998.99
4,2027,27.68,1010.77,1264.39
4,2028,27.61,431.73,1063.94
4,2029,26.49,2169.3,1572.82
4,2030,25.48,1463.52,1335.62
4,2031,23.11,2576.69,1627.22
4,2032,23.05,1049.05,1115.14
4,2033,21.96,1538.74,1284.47
4,2034,20.43,1912.36,1353.85
4,2035,19.71,1601.77,1191.64
4,2036,19.01,1608.09,1156.85
4,2037,18.08,1392.08,1077.43
4,2038,16.44,1598.16,1146.32
4,2039,14.85,1260.88,1105.34
4,2040,9.07,2496.53,1481.05
4,2041,4.59,1477.56,1143.76
4,2042,4.66,586.73,885.98
4,2043,4.71,598.56,882.94
4,2044,4.82,420.01,841.29
4,2045,4.92,438.19,857.71
4,2046,5.08,326.03,847.75
4,2047,5.24,260.57,857.34
4,2048,5.28,245.23,880.06
4,2049,5.36,193.71,870.92
4,2050,5.34,126.64,836.16
5,2017,34.74,0.0,819.37
5,2018,36.82,0.0,882.98
5,2019,36.07,0.0,843.2
5,2020,38.88,0.0,869.49
5,2021,32.28,0.0,722.46
5,2022,36.2,0.0,834.92
5,2023,37.63,805.27,1187.6
5,2024,32.81,1512.74,1367.32
5,2025,31.0,1525.82,1388.49
5,2026,29.82,510.21,1053.29
5,2027,28.07,1079.28,1323.45
5,2028,28.29,331.83,1086.65
5,2029,26.5,3157.62,1927.26
5,2030,25.15,1880.59,1459.33
5,2031,22.0,3196.56,1815.34
5,2032,21.53,1634.73,1241.96
5,2033,21.04,1529.16,1212.7
5,2034,20.17,1623.13,1205.94
5,2035,19.65,1470.66,1133.27
5,2036,18.81,1674.98,1159.03
5,2037,17.63,1664.69,1200.45
5,2038,16.26,1488.7,1150.98
5,2039,15.08,1167.49,1084.29
5,2040,8.79,2958.19,1656.89
5,2041,4.64,1342.25,1173.06
5,2042,4.79,599.61,960.45
5,2043,4.87,629.45,979.04
5,2044,4.96,529.02,956.73
5,2045,5.11,487.55,960.65
5,2046,5.22,424.31,960.91
