Zonas,ID
Zona_1,1
Zona_2,2
Zona_3,3
Zona_4,4
Zona_5,5
Zona_6,6
Zona_7,7
Zona_8,8
Zona_9,9
Zona_10,10
Zona_11,11
Zona_12,12
Zona_13,13
Zona_14,14
Zona_15,15
Zona_16,16
Zona_17,17
Zona_18,18
Zona_19,19
Zona_FV1,20
Zona_FV6,21
Zona_FV7,22
Zona_FV8,23
Zona_FV10,24
Zona_FV11,25
Zona_FV12,26
Zona_FV13,27
Zona_FV14,28
Zona_FV15,29
Zona_FV16,30
Zona_FV18,31
Zona_FV19,32
Zona_FV20,33
Zona_FV21,34
Zona_FV23,35
ZonaRes_XV,36
ZonaRes_I,37
ZonaRes_II,38
ZonaRes_III,39
ZonaRes_IV,40
ZonaRes_V,41
ZonaRes_RM,42
ZonaRes_VI,43
csp01_chuquicamata,44
