master_id,year,el-emissions_total-mtco2e,el-costs_total_capex-UNITSHERE,el-costs_total_opex-UNITSHERE
101,2017,37.47,0.0,896.93
101,2018,39.6,0.0,980.27
101,2019,40.86,0.0,971.04
101,2020,43.65,0.0,1003.99
101,2021,39.37,0.0,866.57
101,2022,41.44,1223.34,1484.12
101,2023,40.47,2063.21,1773.73
101,2024,35.63,1473.95,1502.11
101,2025,32.93,1684.17,1593.86
101,2026,30.71,593.38,1196.5
101,2027,29.38,1026.69,1455.92
101,2028,31.38,558.69,1492.63
101,2029,26.59,7537.81,3547.72
101,2030,25.78,2710.28,1845.84
101,2031,22.5,4821.73,2437.68
101,2032,22.64,1884.14,1419.81
101,2033,22.39,1995.63,1419.99
101,2034,20.66,2792.23,1626.78
101,2035,20.2,2193.07,1467.96
101,2036,19.4,2155.37,1430.14
101,2037,18.55,2037.83,1402.03
101,2038,17.22,1957.96,1461.81
101,2039,15.75,2132.29,1307.43
101,2040,8.25,5337.85,1705.02
101,2041,4.72,2246.09,1142.89
101,2042,4.95,1055.31,1087.7
101,2043,4.92,1241.54,1163.08
101,2044,4.95,1166.72,1025.24
101,2045,5.14,1164.38,1125.85
101,2046,5.36,785.86,1130.61
101,2047,5.42,743.16,1136.95
101,2048,5.55,543.85,1128.95
101,2049,5.73,414.58,1142.21
101,2050,5.75,238.61,1099.26
102,2017,37.46,0.0,896.9
102,2018,39.6,0.0,980.02
102,2019,40.84,0.0,970.92
102,2020,43.68,0.0,1005.97
102,2021,39.44,0.0,870.81
102,2022,41.27,1479.71,1566.84
102,2023,40.44,1992.68,1746.63
102,2024,35.66,1415.45,1486.61
102,2025,32.77,1880.97,1662.32
102,2026,30.67,496.54,1167.71
102,2027,29.25,1126.79,1495.0
102,2028,31.13,666.72,1531.84
102,2029,26.03,7852.85,3639.38
102,2030,25.57,2565.0,1756.04
102,2031,22.23,4984.53,2478.56
102,2032,22.36,1853.23,1367.63
102,2033,21.67,2227.65,1455.07
102,2034,20.64,2374.25,1551.14
102,2035,20.04,2292.69,1470.04
102,2036,19.23,2197.05,1458.2
102,2037,18.37,2036.08,1409.4
102,2038,17.16,1939.86,1453.59
102,2039,15.78,2154.69,1347.08
102,2040,8.77,5216.34,1820.49
102,2041,5.22,1856.68,1349.98
102,2042,5.39,1144.04,1157.13
102,2043,5.49,1169.0,1191.37
102,2044,5.68,944.48,1177.31
