master_id,year,el-costs_total_capex-UNITSHERE,el-costs_total_opex-UNITSHERE,el-emissions_total-mtco2e
101,2017,0.0,584.52,25.36
101,2018,0.0,642.06,27.55
101,2019,0.0,714.72,30.48
101,2020,0.0,952.72,33.82
101,2021,0.0,800.39,28.2
101,2022,0.0,994.49,33.91
101,2023,188.63,1131.88,35.16
101,2024,725.09,1221.28,31.61
101,2025,2718.7,1894.09,27.45
101,2026,694.93,1102.04,25.42
101,2027,1061.68,1328.27,24.85
101,2028,1272.5,1607.23,25.83
101,2029,966.18,1634.01,25.71
101,2030,8506.66,3298.38,20.01
101,2031,4039.12,1501.07,16.73
101,2032,3491.84,1758.93,15.42
101,2033,3912.68,1831.95,12.21
101,2034,2418.21,1185.6,12.04
101,2035,2914.24,1473.87,10.85
101,2036,2579.13,1261.0,9.36
101,2037,2477.27,1412.0,8.79
101,2038,2180.98,1299.44,7.47
101,2039,1880.44,1132.47,6.85
101,2040,2001.95,919.23,6.11
101,2041,2351.96,1050.86,3.52
101,2042,1456.03,879.53,3.51
101,2043,1208.64,853.49,3.58
101,2044,1168.42,872.52,3.48
101,2045,1413.59,847.65,3.37
101,2046,1103.56,808.86,3.07
101,2047,906.06,738.67,2.75
101,2048,613.17,615.96,2.59
101,2049,494.09,555.03,2.39
101,2050,259.8,476.66,2.16
303,2017,0.0,584.52,25.36
303,2018,0.0,642.04,27.55
303,2019,0.0,715.59,30.51
303,2020,0.0,966.1,34.21
303,2021,0.0,807.5,28.46
303,2022,0.0,1003.28,34.15
303,2023,283.94,1174.88,35.31
303,2024,885.63,1283.51,31.59
303,2025,2668.6,1888.51,27.7
303,2026,773.04,1152.95,25.67
303,2027,1071.28,1366.04,25.21
303,2028,1325.73,1676.2,26.17
303,2029,987.58,1703.56,26.11
303,2030,9232.58,3531.06,19.99
303,2031,4431.34,1589.43,16.62
303,2032,3547.54,1793.56,15.43
303,2033,4351.0,1829.89,12.07
303,2034,2345.29,1286.05,12.05
303,2035,3000.51,1541.42,10.83
303,2036,2592.68,1273.6,9.45
303,2037,2702.51,1511.12,8.8
303,2038,2107.91,1307.79,7.72
303,2039,1780.97,1154.92,7.18
303,2040,2486.09,977.96,6.32
303,2041,2553.75,1136.85,3.6
303,2042,1597.93,857.78,3.6
303,2043,1356.08,898.83,3.65
303,2044,1196.53,877.05,3.63
303,2045,1598.56,922.63,3.4
303,2046,1166.6,828.73,3.11
303,2047,1014.47,737.85,2.75
303,2048,638.15,627.03,2.64
303,2049,505.29,580.74,2.49
303,2050,274.11,504.13,2.27
102,2017,0.0,584.58,25.36
102,2018,0.0,642.32,27.55
102,2019,0.0,714.77,30.48
102,2020,0.0,762.49,33.82
102,2021,0.0,708.9,28.48
102,2022,0.0,912.74,34.646
102,2023,479.7,1214.99,36.507
102,2024,949.78,1288.54,33.41
102,2025,2910.72,1974.91,30.05
102,2026,943.9,1303.41,28.21
102,2027,2200.92,1790.94,27.265
102,2028,1733.89,1744.73,27.798000000000002
102,2029,4320.31,2431.74,26.592
102,2030,8460.64,3048.27,22.13
102,2031,4103.51,1981.04,19.32
102,2032,4093.2,1945.32,18.61
102,2033,4501.73,2027.44,15.67
102,2034,2324.45,1565.79,15.58
102,2035,3600.3,1906.89,14.45
102,2036,3363.22,1846.98,13.22
102,2037,3320.69,1786.1,12.76
102,2038,3336.24,1833.12,11.0
102,2039,2535.61,1604.45,10.47
102,2040,3355.64,1808.12,8.88
102,2041,3133.05,1771.27,5.6
102,2042,1805.27,1486.69,5.73
102,2043,1209.54,1505.21,6.2
102,2044,1606.79,1444.15,7.53
102,2045,1961.19,1654.48,7.51
102,2046,1470.32,1479.67,7.86
102,2047,1099.9,1401.56,8.46
102,2048,795.88,1333.96,9.78
102,2049,663.18,1348.79,9.78
102,2050,316.8,1282.23,9.74
304,2017,0.0,584.55,25.36
304,2018,0.0,642.28,27.55
304,2019,0.0,715.58,30.51
304,2020,0.0,774.08,34.21
304,2021,0.0,715.63,28.736
304,2022,0.0,920.87,34.89
304,2023,623.35,1271.17,36.633
304,2024,1003.45,1314.57,33.422
304,2025,3044.37,2033.95,30.17
304,2026,899.66,1311.08,28.454
304,2027,2556.87,1904.14,27.485
304,2028,1828.07,1801.99,28.066
304,2029,4824.24,2586.1,26.641
304,2030,8709.62,3129.95,22.07
304,2031,4089.94,1990.3,19.39
304,2032,4626.14,2099.96,18.56
304,2033,4287.53,2002.58,15.81
304,2034,2494.11,1643.13,15.84
304,2035,3968.58,2036.63,14.51
304,2036,3536.54,1902.85,13.27
304,2037,3422.52,1850.67,12.9
304,2038,3591.21,1911.56,11.12
304,2039,2684.77,1683.28,10.63
304,2040,3443.47,1866.75,9.1
304,2041,3223.25,1833.46,5.84
304,2042,1507.06,1561.62,6.33
304,2043,2051.15,1559.27,7.63
304,2044,1834.84,1646.87,7.57
304,2045,2142.62,1644.07,8.41
304,2046,1466.36,1524.67,8.56
304,2047,1197.66,1417.08,9.95
304,2048,922.11,1433.6,9.98
304,2049,695.21,1385.57,9.91
304,2050,361.96,1287.92,9.76
103,2017,0.0,517.93,25.36
103,2018,0.0,573.74,27.55
103,2019,0.0,644.32,30.48
103,2020,0.0,769.91,33.82
103,2021,0.0,632.34,27.861
103,2022,0.0,762.44,33.082
103,2023,0.0,816.6,34.047
103,2024,77.71,774.16,30.594
103,2025,2611.87,1584.93,26.69
103,2026,648.46,892.95,24.61
103,2027,498.2,922.19,24.689
103,2028,1875.8,1524.23,24.901999999999997
103,2029,1034.28,1333.44,24.855
103,2030,4108.04,2025.59,22.52
103,2031,3822.81,1860.4,19.65
103,2032,3501.11,1733.79,18.59
103,2033,4505.86,1735.57,14.46
103,2034,2013.19,1180.77,14.48
103,2035,2589.74,1356.06,13.12
103,2036,3361.71,1137.04,11.25
103,2037,1739.86,1159.87,11.37
103,2038,1988.59,1143.21,10.12
103,2039,2326.39,1027.84,9.27
103,2040,2888.28,1020.44,7.84
103,2041,2468.39,959.89,4.55
103,2042,1454.03,848.39,4.48
103,2043,1498.64,835.72,4.25
103,2044,1232.32,795.74,3.99
103,2045,1307.19,802.93,3.84
103,2046,834.61,720.94,3.77
103,2047,838.97,676.37,3.43
103,2048,674.34,567.79,3.06
103,2049,351.42,545.32,3.08
103,2050,145.33,551.42,3.28
305,2017,0.0,517.93,25.36
305,2018,0.0,573.74,27.55
305,2019,0.0,645.1,30.51
305,2020,0.0,781.18,34.21
305,2021,0.0,638.13,28.116
305,2022,0.0,769.21,33.326
305,2023,0.0,826.31,34.266
305,2024,212.55,826.69,30.686
305,2025,2574.45,1587.3,27.08
305,2026,747.95,948.09,24.956
305,2027,540.21,966.3,25.105
305,2028,1964.64,1588.17,25.386
305,2029,1064.33,1390.77,25.273000000000003
305,2030,5030.68,2260.36,22.51
305,2031,3693.03,1845.35,19.82
305,2032,4028.9,1869.96,18.49
305,2033,4324.27,1727.68,14.56
305,2034,2158.54,1217.17,14.57
305,2035,3041.06,1348.8,12.98
305,2036,3261.87,1218.42,11.32
305,2037,1553.68,1176.17,11.63
305,2038,2713.71,1158.96,10.06
305,2039,2424.61,1049.12,9.25
305,2040,3002.99,1033.21,7.86
305,2041,2538.26,973.69,4.58
305,2042,1494.04,866.36,4.55
305,2043,1533.5,861.96,4.37
305,2044,1328.45,840.73,4.08
305,2045,1409.65,822.76,3.91
305,2046,956.55,743.36,3.79
305,2047,843.25,686.86,3.54
305,2048,716.14,586.85,3.13
305,2049,353.57,570.43,3.2
305,2050,156.81,581.85,3.45
104,2017,0.0,498.97,25.36
104,2018,0.0,555.48,27.55
104,2019,0.0,626.32,30.48
104,2020,0.0,837.26,33.82
104,2021,0.0,780.57,28.147
104,2022,0.0,1037.49,34.05
104,2023,1694.18,1709.13,35.157
104,2024,1309.1,1441.44,31.37
104,2025,2600.94,1885.2,27.85
104,2026,1156.25,1358.93,25.66
104,2027,911.19,1399.6,25.508000000000003
104,2028,1193.64,1645.39,26.006
104,2029,1591.97,1811.3,26.421
104,2030,8791.18,3364.58,21.67
104,2031,4083.09,2109.69,18.97
104,2032,4443.88,2120.9,17.81
104,2033,4208.72,2007.0,14.97
104,2034,3236.1,1794.98,14.78
104,2035,3906.98,1969.82,13.56
104,2036,3480.7,1665.85,12.21
104,2037,3321.9,1691.62,11.79
104,2038,3802.22,1751.53,9.86
104,2039,3020.44,1313.3,8.97
104,2040,3142.67,1560.91,7.91
104,2041,3537.28,1702.71,5.08
104,2042,2107.84,1132.67,5.14
104,2043,2070.43,1030.11,5.13
104,2044,1668.1,1075.93,5.14
104,2045,1816.84,1167.78,5.3
104,2046,1089.48,1082.98,5.63
104,2047,1267.85,1054.0,5.48
104,2048,882.91,995.09,5.45
