master_id,year,el-emissions_total-mtco2e_modeled,el-costs_total_capex-UNITSHERE,el-costs_total_opex-UNITSHERE,el-emissions_total-mtco2e_f0,el-emissions_total-mtco2e
101,2017,25.36,0.0,584.52,25.36,25.36
101,2018,27.55,0.0,642.06,27.55,27.55
101,2019,30.48,0.0,714.72,30.48,30.48
101,2020,33.82,0.0,952.72,33.82,33.82
101,2021,28.2,0.0,800.39,28.2,28.2
101,2022,33.91,0.0,994.49,33.91,33.91
101,2023,35.16,188.63,1131.88,35.16,35.16
101,2024,31.61,725.09,1221.28,31.61,31.61
101,2025,27.45,2718.7,1894.09,27.45,27.45
101,2026,25.42,694.93,1102.04,25.42,25.42
101,2027,24.85,1061.68,1328.27,24.85,24.85
101,2028,25.83,1272.5,1607.23,25.83,25.83
101,2029,25.71,966.18,1634.01,25.71,25.71
101,2030,20.01,8506.66,3298.38,20.01,20.01
101,2031,16.73,4039.12,1501.07,16.73,16.73
101,2032,15.42,3491.84,1758.93,15.42,15.42
101,2033,12.21,3912.68,1831.95,12.21,12.21
101,2034,12.04,2418.21,1185.6,12.04,12.04
101,2035,10.85,2914.24,1473.87,10.85,10.85
101,2036,9.36,2579.13,1261.0,9.36,9.36
101,2037,8.79,2477.27,1412.0,8.79,8.79
101,2038,7.47,2180.98,1299.44,7.47,7.47
101,2039,6.85,1880.44,1132.47,6.85,6.85
101,2040,6.11,2001.95,919.23,6.11,6.11
101,2041,3.52,2351.96,1050.86,3.52,3.52
101,2042,3.51,1456.03,879.53,3.51,3.51
101,2043,3.58,1208.64,853.49,3.58,3.58
101,2044,3.48,1168.42,872.52,3.48,3.48
101,2045,3.37,1413.59,847.65,3.37,3.37
101,2046,3.07,1103.56,808.86,3.07,3.07
101,2047,2.75,906.06,738.67,2.75,2.75
101,2048,2.59,613.17,615.96,2.59,2.59
101,2049,2.39,494.09,555.03,2.39,2.39
101,2050,2.16,259.8,476.66,2.16,2.16
303,2017,25.36,0.0,584.52,25.36,25.36
303,2018,27.55,0.0,642.04,27.55,27.55
303,2019,30.51,0.0,715.59,30.51,30.51
303,2020,34.21,0.0,966.1,34.21,34.21
303,2021,28.46,0.0,807.5,28.46,28.46
303,2022,34.15,0.0,1003.28,34.15,34.15
303,2023,35.31,283.94,1174.88,35.31,35.31
303,2024,31.59,885.63,1283.51,31.59,31.590000000000003
303,2025,27.7,2668.6,1888.51,27.7,27.7
303,2026,25.67,773.04,1152.95,25.67,25.67
303,2027,25.21,1071.28,1366.04,25.21,25.21
303,2028,26.17,1325.73,1676.2,26.17,26.17
303,2029,26.11,987.58,1703.56,26.11,26.11
303,2030,19.99,9232.58,3531.06,19.99,19.99
303,2031,16.62,4431.34,1589.43,16.62,16.62
303,2032,15.43,3547.54,1793.56,15.43,15.43
303,2033,12.07,4351.0,1829.89,12.07,12.07
303,2034,12.05,2345.29,1286.05,12.05,12.05
303,2035,10.83,3000.51,1541.42,10.83,10.83
303,2036,9.45,2592.68,1273.6,9.45,9.45
303,2037,8.8,2702.51,1511.12,8.8,8.8
303,2038,7.72,2107.91,1307.79,7.72,7.72
303,2039,7.18,1780.97,1154.92,7.18,7.18
303,2040,6.32,2486.09,977.96,6.32,6.32
303,2041,3.6,2553.75,1136.85,3.6,3.6
303,2042,3.6,1597.93,857.78,3.6,3.6
303,2043,3.65,1356.08,898.83,3.65,3.65
303,2044,3.63,1196.53,877.05,3.63,3.63
303,2045,3.4,1598.56,922.63,3.4,3.4
303,2046,3.11,1166.6,828.73,3.11,3.11
303,2047,2.75,1014.47,737.85,2.75,2.75
303,2048,2.64,638.15,627.03,2.64,2.64
