field,BAU_base
cement_frac_biomass,1.64e-05
cement_frac_coal,0.264203595
cement_frac_diesel,0.020069884
cement_frac_electric,0.665441604
cement_frac_hydrogen,0.0
cement_frac_kerosene,0.000322009
cement_frac_natural_gas,0.049946469
cement_frac_thermal_solar,0.0
cement_intensity,0.639486715
cement_production,3995.3759999999997
commercial_elasticity,0.6602825760000001
commercial_frac_biomass,0.003280628
commercial_frac_diesel,0.30520725600000004
commercial_frac_electric,0.471090821
commercial_frac_kerosene,0.002532698
commercial_frac_natural_gas,0.095273997
commercial_frac_pliqgas,0.12261459999999999
copper_heat_diesel,0.17618379399999998
copper_heat_electricitiy,0.742259487
copper_heat_natural_gas,0.079673804
copper_heat_plqgas,0.001110077
copper_heat_solar,0.000772839
copper_intensity_useful_energy,4.182547894
copper_motor_diesel,0.035697543
copper_motor_electricitiy,0.9640000000000001
copper_open_investment_cost_pit_mine_hydrogen,930.0
copper_open_pit_mine_diesel,0.810161826
copper_open_pit_mine_electricitiy,0.189838174
copper_open_pit_mine_hydrogen,0.0
copper_other_diesel,0.085838372
copper_other_electricity,0.9029097490000001
copper_other_natural_gas,0.011251879
copper_share_heat,0.226487988
copper_share_motor,0.485269658
copper_share_open_pit_mine,0.17192343
copper_share_other,0.103560951
copper_share_subt_mine,0.012757973
copper_subt_mine_diesel,0.156602234
copper_subt_mine_electricitiy,0.8433977659999999
copper_subt_mine_hydrogen,0.0
cumplimiento_metas,0.0
ef_captura,0.0
elast_res_ind_pib,0.5
fishing_frac_biomass,0.000176889
fishing_frac_coal,0.006958816
fishing_frac_diesel,0.917006399
fishing_frac_electric,0.052387189
fishing_frac_hydrogen,0.0
fishing_frac_natural_gas,0.023067888999999998
fishing_frac_thermal_solar,0.0
fishing_intensity,0.540061062
fishing_production,4752.855
gdp,147530.0
growth_rate_gdp,0.023052571
hfcmma,0.0
hydrology_exceedance_probability,0.5
incendio_bosque_nativo,0.0
incendio_plantaciones_forestales,0.0
incertidumbre_incendio_bn,0.0
incertidumbre_incendio_plantaciones,0.0
industry_and_mining_fuel_price_biomass,3657.0
industry_and_mining_fuel_price_coal,9155.0
industry_and_mining_fuel_price_diesel,52442.0
industry_and_mining_fuel_price_electric,116279.0
industry_and_mining_fuel_price_fuel_oil,37690.0
industry_and_mining_fuel_price_hydrogen,172908.0
industry_and_mining_fuel_price_kerosene,37690.0
industry_and_mining_fuel_price_natural_gas,32128.0
industry_and_mining_fuel_price_pliqgas,75200.0
industry_and_mining_fuel_price_solar,0.0
industry_and_mining_investment_cost_heat_biomass,225.0
industry_and_mining_investment_cost_heat_coal,225.0
industry_and_mining_investment_cost_heat_diesel,225.0
industry_and_mining_investment_cost_heat_electric,2891.0
industry_and_mining_investment_cost_heat_fuel_oil,225.0
industry_and_mining_investment_cost_heat_hydrogen,2190.0
industry_and_mining_investment_cost_heat_natural_gas,225.0
industry_and_mining_investment_cost_heat_pliqgas,225.0
industry_and_mining_investment_cost_heat_solar,1500.0
industry_and_mining_investment_cost_motor_diesel,280.0
industry_and_mining_investment_cost_motor_electric,280.0
industry_and_mining_investment_cost_motor_hydrogen,930.0
industry_and_mining_investment_cost_motor_pliqgas,280.0
iron_frac_biomass,0.0
iron_frac_coal,0.37112525399999996
iron_frac_diesel,0.270917229
iron_frac_electric,0.357957517
iron_frac_hydrogen,0.0
iron_frac_natural_gas,0.0
iron_frac_thermal_solar,0.0
iron_intensity,0.20347651600000002
medida_biodigestores,1.0
medida_cambio_dieta_bovina,1.0
medida_captura_c_suelos,1.0
medida_uso_eficiente_fertilizante,1.0
other_industries_elasticity,0.815780411
other_industries_frac_biomass,0.171810845
other_industries_frac_coal,0.023903137999999997
other_industries_frac_diesel,0.285245428
other_industries_frac_electric,0.290351486
other_industries_frac_hydrogen,0.0
other_industries_frac_natural_gas,0.224258177
other_industries_frac_thermal_solar,0.0
other_industries_heat_biomass,0.341186149
other_industries_heat_coal,0.029811567999999997
other_industries_heat_diesel,0.021507026000000002
other_industries_heat_electric,0.13291989999999998
other_industries_heat_fuel_oil,0.051597384
other_industries_heat_hydrogen,0.0
other_industries_heat_natural_gas,0.269865305
other_industries_heat_pliqgas,0.15014461699999998
other_industries_heat_solar,0.0
other_industries_intensity,0.224346341
other_industries_motor_diesel,0.151367946
other_industries_motor_electric,0.827163113
other_industries_motor_hydrogen,0.0
other_industries_motor_pliqgas,0.021468941000000002
other_industries_rate_useful_energy,0.619496101
other_industries_share_heat,0.597871316
other_industries_share_motor,0.37565680100000004
other_industries_share_other,0.026471882999999998
other_mining_frac_biomass,0.0
other_mining_frac_coal,0.0
other_mining_frac_diesel,0.741796275
other_mining_frac_electric,0.18183915899999997
other_mining_frac_hydrogen,0.0
other_mining_frac_natural_gas,0.07472201099999999
other_mining_frac_thermal_solar,0.0
other_mining_intensity,0.25896043399999996
other_mining_production,21509.01184
pib,242.2156446
poblacion,17971423.0
poblacion_rural,2176346.0
poblacion_urbana,15795077.0
pqe_vehicular,0.0
precio_bovino,2949497.0160000003
precio_cerdo,830763.7034
precio_leche,3149.52
precio_maiz,121016.9599
precio_pollo,1170910.395
prod_cemento,4382339.0
ptas_antofa,0.0
ptas_biobio,0.0
ptas_valpo,0.0
ptasls_coq,0.0
public_frac_biomass,0.02
public_frac_electric,0.69
public_frac_kerosene,0.0
public_frac_natural_gas,0.06
public_frac_pliqgas,0.07
public_frac_solar,0.0
public_intensity,0.2
pulp_frac_biomass,0.621354611
pulp_frac_electric,0.20303991899999999
pulp_frac_hydrogen,0.0
pulp_frac_thermal_solar,0.0
pulp_intensity,4.457418361
recuperacion_bn,0.0
residential_frac_biomass,0.352811859
residential_frac_electric,0.275356314
residential_frac_hydrogen,0.0
residential_frac_kerosene,0.026416486
residential_frac_natural_gas,0.127297221
residential_frac_pliqgas,0.21811812
residential_frac_solar,0.0
residential_intensity,7.867895846000001
residential_occ_rate,3.1929807560000003
rs_arauc,0.0
rs_aysen,0.0
rs_coq,0.0
rs_magallanes,0.0
rs_tarapaca,0.0
rs_valpo,0.0
saltpeter_frac_biomass,0.0
saltpeter_frac_coal,0.0
saltpeter_frac_diesel,0.636794469
saltpeter_frac_electric,0.16232791400000002
saltpeter_frac_hydrogen,0.0
saltpeter_frac_natural_gas,0.020769776
saltpeter_frac_thermal_solar,0.0
saltpeter_intensity,0.505259076
saltpeter_production,2768.66
steel_frac_biomass,0.0
steel_frac_coal,0.894142597
steel_frac_diesel,0.011825981999999999
steel_frac_electric,0.082267391
steel_frac_hydrogen,0.0
steel_frac_kerosene,0.000162199
steel_frac_natural_gas,0.011601832
steel_frac_thermal_solar,0.0
steel_intensity,5.1096500030000005
steel_production,1253.0
sugar_frac_biomass,0.0
sugar_frac_coal,0.948890473
sugar_frac_diesel,0.008536119
sugar_frac_electric,0.024168132999999998
sugar_frac_hydrogen,0.0
sugar_frac_natural_gas,0.015801089
sugar_frac_thermal_solar,0.0
