sector,pyparams_by_sector,parameter,ppi_overwrite_scale_factor
agriculture,Incertidumbre_PIB,pib,1000000000
agriculture,Incertidumbre_Poblacion,poblacion,
agriculture,Incertidumbre_PrecioLeche,precio_leche,
agriculture,Incertidumbre_PrecioMaiz,precio_maiz,
agriculture,Incertidumbre_PrecioCerdo,precio_cerdo,
agriculture,Incertidumbre_PrecioBovino,precio_bovino,
agriculture,Incertidumbre_PrecioPollo,precio_pollo,
agriculture,Medida_CambioDietaBovina,medida_cambio_dieta_bovina,
agriculture,Medida_CapturaCsuelos,medida_captura_c_suelos,
agriculture,Medida_Usoeficientefertilizante,medida_uso_eficiente_fertilizante,
agriculture,Medida_Biodigestores,medida_biodigestores,
forestry,IncertidumbrePIB,pib,1000000000
forestry,IncertidumbrePoblacion,poblacion,
forestry,Recuperacion_BN,recuperacion_bn,
forestry,Leña Especies nativas,especies_nativas,
forestry,Leña Especies exóticas,especies_exoticas,
forestry,Tierras convertidas a BN,tierras_convertidas_a_bn,
forestry,Tierras convertidas a plantaciones,tierras_convertidas_a_plantaciones,
forestry,Incendio Bosque Nativo,incendio_bosque_nativo,
forestry,Incendio Plantaciones Forestales,incendio_plantaciones_forestales,
forestry,Sustitución y degradación,sustitucion_degradacion,
ippu,pyparam PIB,pib,
ippu,pyparam PqeVehicular,pqe_vehicular,
ippu,pyparam Poblacion,poblacion,
ippu,pyparam NuevaCapRecuperacion,nueva_cap_recuperacion,
waste,pyparams PIB,pib,
waste,pyparams Poblacion,poblacion,
waste,pyparams PobUrbana,poblacion_urbana,
waste,pyparams PobRural,poblacion_rural,
waste,pyparams CumplimientoMetas,cumplimiento_metas,
waste,pyparams PTASBiobio,ptas_biobio,
waste,pyparams PTASValpo,ptas_valpo,
waste,pyparams PTASLSCoq,ptasls_coq,
waste,pyparams PTASAntofa,ptas_antofa,
waste,pyparams RSTarapaca,rs_tarapaca,
waste,pyparams RSCoq,rs_coq,
waste,pyparams RSValpo,rs_valpo,
waste,pyparams RSArauc,rs_arauc,
waste,pyparams RSAysen,rs_aysen,
waste,pyparams RSMagallanes,rs_magallanes,
waste,pyparams EfCaptura,EfCaptura,
waste,pyparams SupuestosMMA,SupuestosMMA_Waste,
ippu,pyparam supuestoMMA,supuestoMMA_IPPU,
ippu,pyparam HFCMMA,HFCMMA,
