field,sector
gdp_ind,waste
poblacion_milliones,waste
residuos_per_capita_per_anho_kg,waste
frac_recap,waste
frac_hh_reciclaje_alimiento,waste
frac_hh_reciclaje_jardin,waste
frac_hh_reciclaje_papel,waste
frac_hh_reciclaje_madera,waste
frac_hh_reciclaje_textil,waste
frac_hh_reciclaje_panhales,waste
frac_hh_reciclaje_plastico_otros,waste
sdrd_frac_alimiento,waste
sdrd_frac_jardin,waste
sdrd_frac_papel,waste
sdrd_frac_madera,waste
sdrd_frac_textil,waste
sdrd_frac_panhales,waste
sdrd_frac_plastico_otros,waste
frac_typo_de_sdrd_no_manejados_superficiales_mcf0.4,waste
frac_typo_de_sdrd_no_manejados_profundos_vertederos_mcf0.8,waste
frac_typo_de_sdrd_manejados_rellenos_sanitarios_mcf1,waste
frac_typo_de_sdrd_manejados_semi_aerobicos_mcf0.5,waste
frac_typo_de_sdrd_no_categorizados_mcf0.6,waste
rso_k_alimiento,waste
rso_k_jardin,waste
rso_k_papel,waste
rso_k_madera,waste
rso_k_textil,waste
rso_k_panhales,waste
rso_k_plastico_otros,waste
rso_k_industrial,waste
rso_doc_alimiento,waste
rso_doc_jardin,waste
rso_doc_papel,waste
rso_doc_madera,waste
rso_doc_textil,waste
rso_doc_panhales,waste
rso_doc_plastico_otros,waste
rso_doc_industrial,waste
ggri_per_bilpib,waste
gg_ch4_quema,waste
gg_co2_quema,waste
gg_n2o_quema,waste
total_gg_ch4_co2e_quema,waste
total_gg_co2_co2e_quema,waste
total_gg_n2o_co2e_quema,waste
total_gg_co2e_quema,waste
kg_dbo5_per_capita_per_anho,waste
kg_dbo5_per_anho,waste
frac_ar_tanque_septico,waste
frac_ar_latrinos,waste
frac_ar_aguas_alcantarillado_sin_tratar,waste
frac_ar_aguas_alcantarillado_central_con_tratar,waste
frac_ar_aguas_alcantarillado_pequenos_con_tratar,waste
frac_ar_sistema_anaerobico,waste
frac_ar_otros,waste
kg_por_persona_proteina_per_anho,waste
kg_total_proteina_per_anho,waste
gg_n2o_proteina,waste
gg_co2e_proteina,waste
gg_ch4_ar_industriales,waste
gg_co2e_ch4_ar_industriales,waste
mcf_ch4_dbo5,waste
gg_ch4_ar,waste
gg_co2e_ch4_ar,waste
ar_typo_mcf_aguas_alcantarillado_central_con_tratar,waste
ar_typo_mcf_aguas_alcantarillado_pequenos_con_tratar,waste
ar_typo_mcf_aguas_alcantarillado_sin_tratar,waste
ar_typo_mcf_latrinos,waste
ar_typo_mcf_otros,waste
ar_typo_mcf_sistema_anaerobico,waste
ar_typo_mcf_tanque_septico,waste
max_ch4_per_dbo,waste
max_ch4_per_dco,waste
factor_nonconsum_dom_proteina,waste
factor_nonconsum_ind_proteina,waste
kg_n2_per_kg_proteina,waste
kg_n2o_per_kg_n,waste
gg ch4/tonne rq,waste
tonne_rq_gg_em_co2,waste
tonne_rq_gg_em_n2o,waste
frac_rso_reciclaje,waste
frac_alimiento_rec,waste
frac_jardin_rec,waste
frac_madera_rec,waste
frac_panhales_rec,waste
frac_papel_rec,waste
frac_plastico_otros_rec,waste
frac_textil_rec,waste
frac_rso_sdrd,waste
frac_rso_quemado,waste
ef_rec_alimiento,waste
ef_rec_jardin,waste
ef_rec_madera,waste
ef_rec_panhales,waste
ef_rec_papel,waste
ef_rec_plastico_otros,waste
ef_rec_textil,waste
mean_mcf_sdrd,waste
cropland,land_use
grassland,land_use
wetlands,land_use
other,land_use
cropland_area_ha,land_use
grassland_area_ha,land_use
wetlands_area_ha,land_use
other_area_ha,land_use
cgw_total_area_ha,land_use
cropland_ef_c1_gg_co2e_ha,land_use
grassland_ef_c1_gg_co2e_ha,land_use
wetlands_ef_c1_gg_co2e_ha,land_use
other_ef_c1_gg_co2e_ha,land_use
cropland_ef_conversion_c1_gg_co2e_ha,land_use
grassland_ef_conversion_c1_gg_co2e_ha,land_use
cropland_emissions_c1_gg_co2e,land_use
grassland_emissions_c1_gg_co2e,land_use
wetlands_emissions_c1_gg_co2e,land_use
other_emissions_c1_gg_co2e,land_use
cgw_total_emissions_c1_gg_co2e,land_use
cropland_emissions_conversion_c1_gg_co2e,land_use
grassland_emissions_conversion_c1_gg_co2e,land_use
settlements,land_use
settlements_area_ha,land_use
settlements_ef_c1_gg_co2e_ha,land_use
settlements_emissions_c1_gg_co2e,land_use
without_information,land_use
without_information_area_ha,land_use
without_information_ef_c1_gg_co2e_ha,land_use
without_information_emissions_c1_gg_co2e,land_use
bananas,agriculture
coffee,agriculture
fruits,agriculture
others,agriculture
palm_oil,agriculture
pina,agriculture
rice,agriculture
sugar_cane,agriculture
vegetables,agriculture
total,agriculture
bananas_kg_co2e_ha,agriculture
coffee_kg_co2e_ha,agriculture
fruits_kg_co2e_ha,agriculture
others_kg_co2e_ha,agriculture
palm_oil_kg_co2e_ha,agriculture
pina_kg_co2e_ha,agriculture
rice_kg_co2e_ha,agriculture
sugar_cane_kg_co2e_ha,agriculture
vegetables_kg_co2e_ha,agriculture
bananas_gg_co2e,agriculture
coffee_gg_co2e,agriculture
fruits_gg_co2e,agriculture
others_gg_co2e,agriculture
palm_oil_gg_co2e,agriculture
pina_gg_co2e,agriculture
rice_gg_co2e,agriculture
sugar_cane_gg_co2e,agriculture
vegetables_gg_co2e,agriculture
total_gg_co2e,agriculture
bananas_value_2016_million_usd,agriculture
coffee_value_2016_million_usd,agriculture
fruits_value_2016_million_usd,agriculture
others_value_2016_million_usd,agriculture
palm_oil_value_2016_million_usd,agriculture
pina_value_2016_million_usd,agriculture
rice_value_2016_million_usd,agriculture
sugar_cane_value_2016_million_usd,agriculture
vegetables_value_2016_million_usd,agriculture
total_value_2016_million_usd,agriculture
bananas_yield_tonnes_ha,agriculture
coffee_yield_tonnes_ha,agriculture
fruits_yield_tonnes_ha,agriculture
others_yield_tonnes_ha,agriculture
palm_oil_yield_tonnes_ha,agriculture
pina_yield_tonnes_ha,agriculture
rice_yield_tonnes_ha,agriculture
sugar_cane_yield_tonnes_ha,agriculture
vegetables_yield_tonnes_ha,agriculture
bananas_prod_tonnes,agriculture
coffee_prod_tonnes,agriculture
fruits_prod_tonnes,agriculture
others_prod_tonnes,agriculture
palm_oil_prod_tonnes,agriculture
pina_prod_tonnes,agriculture
rice_prod_tonnes,agriculture
sugar_cane_prod_tonnes,agriculture
vegetables_prod_tonnes,agriculture
dry_primary_forest,forest
dry_secondary_forest,forest
mangroves_primary_forest,forest
mangroves_secondary_forest,forest
moist_primary_forest,forest
moist_secondary_forest,forest
palm_primary_forest,forest
palm_secondary_forest,forest
wet_primary_forest,forest
wet_secondary_forest,forest
total_forest_area_ha,forest
dry_primary_forest_emissions_c1_gg_co2e,forest
dry_secondary_forest_emissions_c1_gg_co2e,forest
mangroves_primary_forest_emissions_c1_gg_co2e,forest
mangroves_secondary_forest_emissions_c1_gg_co2e,forest
moist_primary_forest_emissions_c1_gg_co2e,forest
moist_secondary_forest_emissions_c1_gg_co2e,forest
