sector,pyparams_by_sector,parameter,ppi_overwrite_scale_factor
agriculture,Medida_Biodigestores,medida_biodigestores,
agriculture,Medida_CambioDietaBovina,medida_cambio_dieta_bovina,
agriculture,Medida_CapturaCsuelos,medida_captura_c_suelos,
agriculture,Medida_Usoeficientefertilizante,medida_uso_eficiente_fertilizante,
agriculture,pib,pib,
agriculture,poblacion,poblacion,
agriculture,precio_bovino,precio_bovino,
agriculture,precio_cerdo,precio_cerdo,
agriculture,precio_leche,precio_leche,
agriculture,precio_maiz,precio_maiz,
agriculture,precio_pollo,precio_pollo,
forestry,Leña Especies exóticas,especies_exoticas,
forestry,Leña Especies nativas,especies_nativas,
forestry,Incendio Bosque Nativo,incendio_bosque_nativo,
forestry,Incendio Plantaciones Forestales,incendio_plantaciones_forestales,
forestry,Incertidumbre Incendio BN,incertidumbre_incendio_bn,
forestry,Incertidumbre Incendio Plantaciones,incertidumbre_incendio_plantaciones,
forestry,IncertidumbrePIB,pib,1000000000
forestry,IncertidumbrePoblacion,poblacion,
forestry,Recuperacion_BN,recuperacion_bn,
forestry,Sustitución y degradación,sustitucion_degradacion,
forestry,Tierras convertidas a BN,tierras_convertidas_a_bn,
forestry,Tierras convertidas a plantaciones,tierras_convertidas_a_plantaciones,
forestry,Var Demanda Leña 2019,var_demanda_legna,
ippu,pyparam NuevaCapRecuperacion,nueva_cap_recuperacion,
ippu,pyparam PIB,pib,
ippu,pyparam Poblacion,poblacion,
ippu,pyparam PqeVehicular,pqe_vehicular,
ippu,pyparam HFCMMA,hfcmma,
ippu,pyparam supuestoMMA_IPPU,supuestos_mma_ippu,
waste,pyparams CumplimientoMetas,cumplimiento_metas,
waste,pyparams EfCaptura,ef_captura,
waste,pyparams PIB,pib,
waste,pyparams Poblacion,poblacion,
waste,pyparams PobRural,poblacion_rural,
waste,pyparams PobUrbana,poblacion_urbana,
waste,pyparams PTASAntofa,ptas_antofa,
waste,pyparams PTASBiobio,ptas_biobio,
waste,pyparams PTASValpo,ptas_valpo,
waste,pyparams PTASLSCoq,ptasls_coq,
waste,pyparams RSArauc,rs_arauc,
waste,pyparams RSAysen,rs_aysen,
waste,pyparams RSCoq,rs_coq,
waste,pyparams RSMagallanes,rs_magallanes,
waste,pyparams RSTarapaca,rs_tarapaca,
waste,pyparams RSValpo,rs_valpo,
waste,pyparams SupuestosMMA_Waste,supuestos_mma_waste,
