field,include_all_file,include_diff_file
design_id,1,1
future_id,1,1
master_id,1,1
run_id,1,1
strategy_id,1,1
time_series_id,1,1
year,1,1
agriculture_df_pj_per_million_gdp,,
agriculture_ef_kt_co2e_per_pj,,
agriculture_frac_electric,,
ar_typo_mcf_aguas_alcantarillado_central_con_tratar,,
ar_typo_mcf_aguas_alcantarillado_pequenos_con_tratar,,
ar_typo_mcf_aguas_alcantarillado_sin_tratar,,
ar_typo_mcf_latrinos,,
ar_typo_mcf_otros,,
ar_typo_mcf_sistema_anaerobico,,
ar_typo_mcf_tanque_septico,,
bananas_kg_co2e_ha,,
bananas_value_2016_million_usd,1,
bananas_yield_tonnes_ha,,
cal_kt_co2e_per_million_usd,,
carburo_kt_co2e_per_million_usd,,
cemento_kt_co2e_per_kt_prod,,
cemento_kt_prod_per_million_usd,,
coffee_kg_co2e_ha,,
coffee_value_2016_million_usd,1,
coffee_yield_tonnes_ha,,
commercial_df_pj_per_million_gdp,,
commercial_ef_kt_co2e_per_pj,,
commercial_frac_electric,,
cropland_ef_c1_gg_co2e_ha,,
dry_primary_forest_conv_to_cropland_area_ha,,
dry_primary_forest_conv_to_grassland_area_ha,,
dry_primary_forest_ef_c1_gg_co2e_ha,,
dry_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
dry_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
dry_secondary_forest_conv_to_cropland_area_ha,,
dry_secondary_forest_conv_to_grassland_area_ha,,
dry_secondary_forest_ef_c1_gg_co2e_ha,,
dry_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
dry_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
dual_purpose,,
dual_purpose_fermentation_ef_c1_gg_co2e_head,,
dual_purpose_manure_ef_c1_gg_co2e_head,,
dual_purpose_val_per_head_2016_usd,,
e6tdfrehea,,
e6tdfrelig,,
e6tdpaspriv,,
e6tdpasspub,,
ef_rec_alimiento,,
ef_rec_jardin,,
ef_rec_madera,,
