year,pib_peso_luis_gr0,pib_peso_carlos_gr1,pib_peso_luis_20201218
2015,147530,147530,143544.5943
2016,147530,147530,146000.7705
2017,147530,147530,147736.0956
2018,153431.2,153357.435,153570.6681
2019,156499.824,155071.9711,155189.9826
2020,160021.07,145767.6529,145878.5836
2021,165621.8075,152319.9089,154683.657
2022,170756.0835,157218.5171,160157.8409
2023,176049.5221,161848.6024,165081.9003
2024,181331.0078,166202.3299,170218.5555
2025,186770.938,170357.3881,175515.0419
2026,192187.2952,174616.3228,180894.8558
2027,197760.7268,178981.7309,186356.8949
2028,203495.7878,183456.2741,191900.0046
2029,209193.6699,188042.681,197522.9807
2030,215051.0927,192743.748,203224.5707
2031,220857.4722,197562.3417,209003.4763
2032,226820.6239,202501.4003,214858.3552
2033,232717.9601,207563.9353,220787.8228
2034,238768.6271,212753.0337,226790.4549
2035,244737.8428,218071.8595,232864.7892
2036,250856.2888,223523.656,239009.3277
2037,257127.6961,229111.7474,245222.5386
2038,263298.7608,234702.1178,251502.8585
2039,269617.931,240291.2649,257848.6947
2040,276088.7614,245875.7534,264258.4267
2041,282438.8029,251452.2205,270730.409
2042,288934.8954,257017.3789,277262.9725
2043,295291.4631,262568.0215,283854.427
2044,301787.8752,268101.0242,290503.0633
2045,308427.2085,273613.3493,297207.1545
2046,314904.1799,279102.0478,303964.959
2047,321517.1677,284684.0888,310774.7217
2048,328269.0282,290377.7706,317634.6761
2049,334834.4087,296185.326,324543.0465
2050,341531.0969,302109.0325,331498.0494
