year,residuos_per_capita_per_anho_kg,residuos_ordinarios_total_gg,frac_recap,frac_hh_reciclaje_alimiento,frac_hh_reciclaje_jardin,frac_hh_reciclaje_papel,frac_hh_reciclaje_madera,frac_hh_reciclaje_textil,frac_hh_reciclaje_panhales,frac_hh_reciclaje_plastico_otros,sdrd_frac_alimiento,sdrd_frac_jardin,sdrd_frac_papel,sdrd_frac_madera,sdrd_frac_textil,sdrd_frac_panhales,sdrd_frac_plastico_otros,frac_typo_de_sdrd_no_manejados_superficiales_mcf0.4,frac_typo_de_sdrd_no_manejados_profundos_vertederos_mcf0.8,frac_typo_de_sdrd_manejados_rellenos_sanitarios_mcf1,frac_typo_de_sdrd_manejados_semi_aerobicos_mcf0.5,frac_typo_de_sdrd_no_categorizados_mcf0.6,rso_k_alimiento,rso_k_jardin,rso_k_papel,rso_k_madera,rso_k_textil,rso_k_panhales,rso_k_plastico_otros,rso_k_industrial,rso_doc_alimiento,rso_doc_jardin,rso_doc_papel,rso_doc_madera,rso_doc_textil,rso_doc_panhales,rso_doc_plastico_otros,rso_doc_industrial,ggri_per_bilpib,gdp_2016,gdp_ind,poblacion_milliones,residuos_industrial_total_gg,residuos_de_quema_total_tonne,gg_ch4_quema,gg_co2_quema,gg_n2o_quema,total_gg_ch4_co2e_quema,total_gg_co2_co2e_quema,total_gg_n2o_co2e_quema,total_gg_co2e_quema,kg_dbo5_per_capita_per_anho,kg_dbo5_per_anho,frac_ar_tanque_septico,frac_ar_latrinos,frac_ar_aguas_alcantarillado_sin_tratar,frac_ar_aguas_alcantarillado_central_con_tratar,frac_ar_aguas_alcantarillado_pequenos_con_tratar,frac_ar_sistema_anaerobico,frac_ar_otros,kg_por_persona_proteina_per_anho,kg_total_proteina_per_anho,gg_n2o_proteina,gg_co2e_proteina,gg_ch4_ar_industriales,gg_co2e_ch4_ar_industriales,mcf_ch4_dbo5,gg_ch4_ar,gg_co2e_ch4_ar,ar_typo_mcf_aguas_alcantarillado_central_con_tratar,ar_typo_mcf_aguas_alcantarillado_pequenos_con_tratar,ar_typo_mcf_aguas_alcantarillado_sin_tratar,ar_typo_mcf_latrinos,ar_typo_mcf_otros,ar_typo_mcf_sistema_anaerobico,ar_typo_mcf_tanque_septico,max_ch4_per_dbo,max_ch4_per_dco,factor_nonconsum_dom_proteina,factor_nonconsum_ind_proteina,kg_n2_per_kg_proteina,kg_n2o_per_kg_n,gg ch4/tonne rq,tonne_rq_gg_em_co2,tonne_rq_gg_em_n2o,frac_rso_reciclaje,frac_alimiento_rec,frac_jardin_rec,frac_madera_rec,frac_panhales_rec,frac_papel_rec,frac_plastico_otros_rec,frac_textil_rec,frac_rso_sdrd,frac_rso_quemado,ef_rec_alimiento,ef_rec_jardin,ef_rec_madera,ef_rec_panhales,ef_rec_papel,ef_rec_plastico_otros,ef_rec_textil,mean_mcf_sdrd
1970,154.9526174170238,201.24,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.29,0.64,0.0,0,0.07,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,8509.236640679717,1652.6475008855286,1.847394,2.3651150877870037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.67
1971,162.27991215079155,216.31,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.28,0.65,0.0,0,0.07,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,9086.035708204385,1764.6723014299873,1.896077,2.525434542378537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.674
1972,169.66495386311107,231.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.28,0.66,0.0,0,0.07,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,9829.095809221502,1908.9879986904168,1.944169,2.7319657190585334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.682
1973,177.10650320286115,248.08,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.27,0.67,0.0,0,0.07,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,10586.812530270987,2056.1502763775934,1.992514,2.942570656363401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.686
1974,184.47483186254107,264.85,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.26,0.67,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,11173.840697193269,2170.161752844891,2.042241,3.105733256391049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.676
1975,191.96232223810054,282.61,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.25,0.68,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,11408.499290836855,2215.7366915523667,2.094188,3.170955861395602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.68
1976,199.61976013487057,301.53,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.25,0.69,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,12037.97058660293,2337.9913905054664,2.148677,3.3459153932327923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.688
1977,207.3523279248014,321.51,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.24,0.7,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,13109.888599596801,2546.1772360911395,2.205615,3.64385157393348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.692
1978,215.24136309529973,342.72,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.23,0.71,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,13931.575360162633,2705.763651265906,2.264946,3.872236778965672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.696
1979,223.15414993576294,364.97,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.55,0.0,0.16,0.0,0.03,0.0,0.26,0.23,0.72,0.0,0,0.06,0.185,0.1,0.06,0.03,0.06,0.1,0,0.09,0.15,0.2,0.4,0.43,0.24,0.24,0,0.15,2.0357112847871575,14619.673136058249,2839.4046719260086,2.326464,4.063491353302366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.029445824934533238,0.029445824934533238,-0.619,0.0,-0.601,-1.1902142857142857,0.0,0.704
